LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
abi	abidji	ɪ	ɪ				
abi	abidji	ʊ	ʊ				
abi	abidji	ʔ	ʔ				
abi	abidji	kp	kp				
abi	abidji	r	r				
abi	abidji	ɔ	ɔ				
abi	abidji	ɛ	ɛ				
abi	abidji	ɟ	ɟ				
abi	abidji	a	a				
abi	abidji	c	c				
abi	abidji	b	b				
abi	abidji	e	e				
abi	abidji	d	d				
abi	abidji	ɡ	ɡ				
abi	abidji	f	f				
abi	abidji	i	i				
abi	abidji	h	h				
abi	abidji	k	k				
abi	abidji	j	j				
abi	abidji	m	m				
abi	abidji	l	l				
abi	abidji	o	o				
abi	abidji	n	n				
abi	abidji	p	p				
abi	abidji	s	s				
abi	abidji	ɲ	ɲ				
abi	abidji	u	u				
abi	abidji	t	t				
abi	abidji	w	w				
abi	abidji	ɡb	ɡb				
abi	abidji	ĩ	ĩ			appparently all vowels can be nasalized	
abi	abidji	ɪ̃	ɪ̃			appparently all vowels can be nasalized	
abi	abidji	ẽ	ẽ			appparently all vowels can be nasalized	
abi	abidji	ɛ̃	ɛ̃			appparently all vowels can be nasalized	
abi	abidji	ã	ã			appparently all vowels can be nasalized	
abi	abidji	ɔ̃	ɔ̃			appparently all vowels can be nasalized	
abi	abidji	ʊ̃	ʊ̃̃			appparently all vowels can be nasalized	
abi	abidji	õ	õ			appparently all vowels can be nasalized	
abi	abidji	ũ	ũ			appparently all vowels can be nasalized	
							
adj	adioukrou	˦	˦				
adj	adioukrou	˨	˨				
adj	adioukrou	˦˨	˦˨				
adj	adioukrou	ɡb	ɡb				
adj	adioukrou	kp	kp				
adj	adioukrou	dz	ʣ				
adj	adioukrou	t̠ʃ	ʧ				
adj	adioukrou	r	r				
adj	adioukrou	ŋ	ŋ				
adj	adioukrou	ɔ	ɔ				
adj	adioukrou	ɛ	ɛ				
adj	adioukrou	a	a				
adj	adioukrou	b	b				
adj	adioukrou	e	e				
adj	adioukrou	d	d				
adj	adioukrou	ɡ	ɡ				
adj	adioukrou	f	f				
adj	adioukrou	i	i				
adj	adioukrou	h	h				
adj	adioukrou	k	k				
adj	adioukrou	j	j				
adj	adioukrou	m	m				
adj	adioukrou	l	l				
adj	adioukrou	o	o				
adj	adioukrou	n	n				
adj	adioukrou	p	p				
adj	adioukrou	s	s				
adj	adioukrou	ɲ	ɲ				
adj	adioukrou	u	u				
adj	adioukrou	t	t				
adj	adioukrou	w	w				
							
ajg	adja (Bénin)	˦	˦				confirmed in Morley 2010
