ISO	Name	Dialect	Phonemes	Questions	Allophones	ExplanationOfAllophones	FileNames
fub	Fulfulde (Cameroon)	CAM	b				adamawa_taylor1953.pdf
fub	Fulfulde (Cameroon)	CAM	ɓ				
fub	Fulfulde (Cameroon)	CAM	ʔʲ				
fub	Fulfulde (Cameroon)	CAM	m				
fub	Fulfulde (Cameroon)	CAM	ɲ				
fub	Fulfulde (Cameroon)	CAM	f				
fub	Fulfulde (Cameroon)	CAM	t				
fub	Fulfulde (Cameroon)	CAM	d				
fub	Fulfulde (Cameroon)	CAM	ɗ				
fub	Fulfulde (Cameroon)	CAM	mb				
fub	Fulfulde (Cameroon)	CAM	nd				
fub	Fulfulde (Cameroon)	CAM	n̠d̠ʒ	updated from ɲdʒ			
fub	Fulfulde (Cameroon)	CAM	ŋɡ				
fub	Fulfulde (Cameroon)	CAM	n				
fub	Fulfulde (Cameroon)	CAM	s				
fub	Fulfulde (Cameroon)	CAM	<ʒ>	borrowed words only			
fub	Fulfulde (Cameroon)	CAM	h		[h]	word final	
fub	Fulfulde (Cameroon)	CAM	h		[ɦ]	word final	
fub	Fulfulde (Cameroon)	CAM	l				
fub	Fulfulde (Cameroon)	CAM	r				
fub	Fulfulde (Cameroon)	CAM	t̠ʃ				
fub	Fulfulde (Cameroon)	CAM	d̠ʒ				
fub	Fulfulde (Cameroon)	CAM	ɡ				
fub	Fulfulde (Cameroon)	CAM	k				
fub	Fulfulde (Cameroon)	CAM	ŋ				
fub	Fulfulde (Cameroon)	CAM	<q>	borrowed words only			
fub	Fulfulde (Cameroon)	CAM	w				
fub	Fulfulde (Cameroon)	CAM	j				
fub	Fulfulde (Cameroon)	CAM	i				
fub	Fulfulde (Cameroon)	CAM	e				
fub	Fulfulde (Cameroon)	CAM	a				
fub	Fulfulde (Cameroon)	CAM	o				
fub	Fulfulde (Cameroon)	CAM	u				
fub	Fulfulde (Cameroon)	CAM	bː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	dː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	ɗː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	kː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	ɡː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	t̠ʃː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	ɓː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	mː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	nː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	lː	entire inventory of geminates not given			
fub	Fulfulde (Cameroon)	CAM	iː				
fub	Fulfulde (Cameroon)	CAM	eː				
fub	Fulfulde (Cameroon)	CAM	aː				
fub	Fulfulde (Cameroon)	CAM	oː				
fub	Fulfulde (Cameroon)	CAM	uː				
							
any	Anyi Sanvi		ɪ				agni_ahua2004_s.pdf
any	Anyi Sanvi		ʊ				
any	Anyi Sanvi		ɡb				
any	Anyi Sanvi		kp				
any	Anyi Sanvi		ɔ				
any	Anyi Sanvi		c		[c]		
any	Anyi Sanvi		c		[ç]		
any	Anyi Sanvi		ɟ				
any	Anyi Sanvi		ʌ				
any	Anyi Sanvi		ɛ				
any	Anyi Sanvi		b				
any	Anyi Sanvi		e				
any	Anyi Sanvi		d				
any	Anyi Sanvi		ɡ				
any	Anyi Sanvi		f				
any	Anyi Sanvi		i				
any	Anyi Sanvi		h				
any	Anyi Sanvi		k				
any	Anyi Sanvi		j				
any	Anyi Sanvi		m				
any	Anyi Sanvi		l				
any	Anyi Sanvi		o				
any	Anyi Sanvi		n		[n]		
any	Anyi Sanvi		n		[ŋ]		
any	Anyi Sanvi		n		[ɲ]		
any	Anyi Sanvi		p				
any	Anyi Sanvi		s		[s]		
any	Anyi Sanvi		s		[z]		
any	Anyi Sanvi		u				
any	Anyi Sanvi		t				
any	Anyi Sanvi		w				
any	Anyi Sanvi		a				
any	Anyi Sanvi		ĩ				
any	Anyi Sanvi		ɪ̃				
any	Anyi Sanvi		ʌ̃				
any	Anyi Sanvi		ũ				
any	Anyi Sanvi		ʊ̃				
any	Anyi Sanvi		ã				
any	Anyi Sanvi		<ɥ>	discussed as marginal phoneme, but no examples given			
any	Anyi Sanvi		˦				
any	Anyi Sanvi		˧				
any	Anyi Sanvi		˨				
any	Anyi Sanvi		˨˦				
any	Anyi Sanvi		˦˨				
							
any	Agni Djuablin		ɪ				agni_ahua2004_s.pdf
any	Agni Djuablin		ʊ				
any	Agni Djuablin		ʃ				
any	Agni Djuablin		ɔ				
any	Agni Djuablin		c				
any	Agni Djuablin		ɟ				
any	Agni Djuablin		ɛ				
any	Agni Djuablin		b				
any	Agni Djuablin		e				
any	Agni Djuablin		d				
any	Agni Djuablin		ɡ				
any	Agni Djuablin		f		[f]		
any	Agni Djuablin		f		[v]		
any	Agni Djuablin		i				
any	Agni Djuablin		h				
any	Agni Djuablin		k				
any	Agni Djuablin		j				
any	Agni Djuablin		m				
any	Agni Djuablin		r		[r]		
any	Agni Djuablin		r		[ɾ]		
any	Agni Djuablin		o				
any	Agni Djuablin		n		[n]		
any	Agni Djuablin		n		[ŋ]		
any	Agni Djuablin		n		[ɲ]		
any	Agni Djuablin		p				
any	Agni Djuablin		s		[s]		
any	Agni Djuablin		s		[z]		
any	Agni Djuablin		u				
any	Agni Djuablin		t				
any	Agni Djuablin		w				
any	Agni Djuablin		a				
any	Agni Djuablin		ĩ				
any	Agni Djuablin		ɪ̃				
any	Agni Djuablin		ũ				
any	Agni Djuablin		ʊ̃				
any	Agni Djuablin		ã				
any	Agni Djuablin		˦				
any	Agni Djuablin		˧				
any	Agni Djuablin		˨				
any	Agni Djuablin		˨˦				
any	Agni Djuablin		˦˨				
							
mtb	Agni Morofo		ɪ				agni_quaireau1987_o.pdf
mtb	Agni Morofo		ʊ				
mtb	Agni Morofo		ɔ				
mtb	Agni Morofo		c				
mtb	Agni Morofo		ɟ				
mtb	Agni Morofo		ɛ				
mtb	Agni Morofo		b				
mtb	Agni Morofo		kp				
mtb	Agni Morofo		ɡb				
mtb	Agni Morofo		e				
mtb	Agni Morofo		d				
mtb	Agni Morofo		ɲ				
mtb	Agni Morofo		ɡ				
mtb	Agni Morofo		f				
mtb	Agni Morofo		i				
mtb	Agni Morofo		h				
mtb	Agni Morofo		v				
mtb	Agni Morofo		z				
mtb	Agni Morofo		k				
mtb	Agni Morofo		j				
mtb	Agni Morofo		mb				
mtb	Agni Morofo		nd				
mtb	Agni Morofo		ɱv				
mtb	Agni Morofo		ŋmɡb				
mtb	Agni Morofo		nz				
mtb	Agni Morofo		ɲɟ				
