ISO	Name	Dialect	Phonemes	Questions	Allophones	ExplanationOfAllophones	FileNames
btx	Karo Batak		p				btx_KaroBatak1.pdf
btx	Karo Batak		t				
btx	Karo Batak		k		[ʔ]	before consonants and word finally	
btx	Karo Batak		k		[k]		
btx	Karo Batak		b				
btx	Karo Batak		d				
btx	Karo Batak		ɡ				
btx	Karo Batak		m				
btx	Karo Batak		n				
btx	Karo Batak		ŋ				
btx	Karo Batak		s				
btx	Karo Batak		h		[h]		
btx	Karo Batak		h		[x]	syllable final position (occasional)	
btx	Karo Batak		t̠ʃ				
btx	Karo Batak		d̠ʒ				
btx	Karo Batak		l				
btx	Karo Batak		r		[r]		
btx	Karo Batak		r		[ɾ]	syllable initially (occasional)	
btx	Karo Batak		w				
btx	Karo Batak		y				
btx	Karo Batak		i		[i]		
btx	Karo Batak		i		[ɪ]	closed syllable	
btx	Karo Batak		e		[e]		
btx	Karo Batak		e		[ɛ]	closed syllable	
btx	Karo Batak		u		[u]		
btx	Karo Batak		u		[ʊ]	closed syllable	
btx	Karo Batak		ɯ		[ɯ]		
btx	Karo Batak		ɯ		[ə]	unstressed syllables	
btx	Karo Batak		o		[o]		
btx	Karo Batak		o		[ɔ]	closed syllable	
btx	Karo Batak		ə				
btx	Karo Batak		a				
							
tgl	Tagalog		a				tgl_Himmelmann.pdf
tgl	Tagalog		e				
tgl	Tagalog		i				
tgl	Tagalog		o				
tgl	Tagalog		u				
tgl	Tagalog		p				
tgl	Tagalog		t				
tgl	Tagalog		k				
tgl	Tagalog		ʔ				
tgl	Tagalog		b				
tgl	Tagalog		d				
tgl	Tagalog		ɡ				
tgl	Tagalog		m				
tgl	Tagalog		n				
tgl	Tagalog		s				
tgl	Tagalog		ŋ				
tgl	Tagalog		h				
tgl	Tagalog		l				
tgl	Tagalog		r				
tgl	Tagalog		j				
tgl	Tagalog		w				
tgl	Tagalog		<c>	loan words only 			
tgl	Tagalog		<ɟ>	loan words only 			
tgl	Tagalog		<f>	loan words only 			
							
ssb	Southern Sama	Sinama, Simunul Island	p				ssb_Jun.pdf
ssb	Southern Sama	Sinama, Simunul Island	t				
ssb	Southern Sama	Sinama, Simunul Island	k				
ssb	Southern Sama	Sinama, Simunul Island	ʔ				
ssb	Southern Sama	Sinama, Simunul Island	b				
ssb	Southern Sama	Sinama, Simunul Island	d		[d]		
ssb	Southern Sama	Sinama, Simunul Island	d		[r]	intervocalically d > r	
ssb	Southern Sama	Sinama, Simunul Island	ɟ				
ssb	Southern Sama	Sinama, Simunul Island	ɡ				
ssb	Southern Sama	Sinama, Simunul Island	m				
ssb	Southern Sama	Sinama, Simunul Island	n				
ssb	Southern Sama	Sinama, Simunul Island	ɲ				
ssb	Southern Sama	Sinama, Simunul Island	ŋ				
ssb	Southern Sama	Sinama, Simunul Island	s				
ssb	Southern Sama	Sinama, Simunul Island	h				
ssb	Southern Sama	Sinama, Simunul Island	l				
ssb	Southern Sama	Sinama, Simunul Island	w				
ssb	Southern Sama	Sinama, Simunul Island	j				
ssb	Southern Sama	Sinama, Simunul Island	a				
ssb	Southern Sama	Sinama, Simunul Island	e				
ssb	Southern Sama	Sinama, Simunul Island	i				
ssb	Southern Sama	Sinama, Simunul Island	o				
ssb	Southern Sama	Sinama, Simunul Island	u				
ssb	Southern Sama	Sinama, Simunul Island	ə				
							
kqr	Kimaragang	Tandek	a				kqr_Kroeger.pdf
kqr	Kimaragang	Tandek	i				
kqr	Kimaragang	Tandek	e				
kqr	Kimaragang	Tandek	u				
kqr	Kimaragang	Tandek	ɤ				
kqr	Kimaragang	Tandek	p				
kqr	Kimaragang	Tandek	t				
kqr	Kimaragang	Tandek	k				
kqr	Kimaragang	Tandek	ʔ				
kqr	Kimaragang	Tandek	b				
kqr	Kimaragang	Tandek	d				
kqr	Kimaragang	Tandek	ɡ				
kqr	Kimaragang	Tandek	d̠ʒ				
kqr	Kimaragang	Tandek	ɓ				
kqr	Kimaragang	Tandek	ɗ				
kqr	Kimaragang	Tandek	m				
kqr	Kimaragang	Tandek	n				
kqr	Kimaragang	Tandek	ŋ				
kqr	Kimaragang	Tandek	s		[s]		
kqr	Kimaragang	Tandek	s		[ʃ]	before high vowels	
kqr	Kimaragang	Tandek	ɾ		[ɾ]		
kqr	Kimaragang	Tandek	ɾ		[r]	word finally 	
kqr	Kimaragang	Tandek	w				
kqr	Kimaragang	Tandek	l				
kqr	Kimaragang	Tandek	j				
							
beg	Belait	Metting	a				beg_Clynes.pdf
beg	Belait	Metting	e		[e]	final syllables	
