spaDescription	Phoneme	PhonemeOld	NotesTwo
i-long-backed-retracted	i̠̙ː		"retracted" is consistently given the right tack, "backed" is consistently given the minus below. This is one of two weird cases that have both. Unchanged.
iota-backed-retracted	ɪ̠̙		"retracted" is consistently given the right tack, "backed" is consistently given the minus below. This is one of two weird cases that have both. Unchanged.
w/o-mid	uo̞	wo̞	"* the transcription of "o-mid" as a downtack is suspicious, but there appears to be consistency so we're leaving it alone
theta-prenasalized	n̪θ		added dental marker below prenasalizing n
k/x-prevelar-palatalized	k̟x̟ʲ		added fronting diacritic to the k
j-palatoalveolar-prenasalized	ɲ̟ʝ̟		added fronting diacritic to the nasal
z-hacek-prenasalized	n̠ʒ		added retraction diacritic below prenasalizing n
a-front-long-retracted	a̟̙ː		all "a-front" changed from [a] to [a̟]
a-front-long-nasalized	ã̟ː		all "a-front" changed from [a] to [a̟]
a-front-nasalized	ã̟		all "a-front" changed from [a] to [a̟]
a-front-retroflexed	a̟˞		all "a-front" changed from [a] to [a̟]
a-front-over-short	ă̟		all "a-front" changed from [a] to [a̟]
t/theta-glottalized	t̠θˀ	ʔtθ	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t-retroflex-unreleased-glottalized	ʈ̚ˀ	ʔʈ̚	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t-unreleased-glottalized	t̚ˀ	ʔt̚	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
t-glottalized	tˀ	ʔt	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
s-glottalized	sˀ	ʔs	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
p-unreleased-glottalized	p̚ˀ	ʔp̚	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
p-glottalized	pˀ	ʔp	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
k-glottalized	kˀ	ʔk	all voiceless consonants that are "-glottalized" are marked with a preceding glottal stop (even if they don't say "-preglottalized")
ash-trema-long	ɶ̝ː		corrected from  ɑ̝ː
higher-mid-falling-low	˦˩		corrected from ˦˨
high	˥		corrected from ˦
high-over-short	˥̆		corrected from ˦̆
high-creaky voice	˥̰		corrected from ˦̰
higher-mid-rising	˧˦		corrected from ˦˥
high-falling	˥˦		corrected from ˦˥˩
high-falling-rising	˥˧˥		corrected from ˦˥˩˥
low	˩		corrected from ˨
low-breathy voice-over-short	˩̤̆		corrected from ˨̤̆
low-creaky voice	˩̰		corrected from ˨̰
