LanguageCode	LanguageName	upsidLangNum
ktz	!XU	4904
axb	ABIPON	6815
guq	ACHE	6866
acv	ACHUMAWI	6744
kjq	ACOMA	6749
adz	ADZERA	2419
agq	AGHEM	4134
aht	AHTNA	6108
ain	AINU	2140
ahp	AIZI	4131
aka	AKAN	4115
ake	AKAWAIO	6853
akz	ALABAMA	6759
amp	ALAMBLAK	8634
alh	ALAWA	8354
als	ALBANIAN	2021
ale	ALEUT	6900
ald	ALLADIAN	4152
amc	AMAHUACA	6810
aey	AMELE	8635
amh	AMHARIC	4352
amo	AMO	4122
ame	AMUESHA	6824
amu	AMUZGO	6770
apq	ANDAMANESE	8600
ano	ANDOKE	6851
agm	ANGAATIHA	8627
anc	ANGAS	4367
njo	AO	2512
apn	APINAYE	6809
arl	ARABELA	6817
arz	ARABIC	4350
arn	ARAUCANIAN	6837
aqc	ARCHI	2605
hye	ARMENIAN	2022
aer	ARRERNTE	8362
cag	ASHUSLAY	6814
tml	ASMAT	8601
tay	ATAYAL	2407
auc	AUCA	6818
ava	AVAR	2606
awn	AWIYA	4359
zne	AZANDE	4130
azj	AZERBAIJANI	2159
bca	BAI	2506
byx	BAINING	8631
bkq	BAKAIRI	6856
bam	BAMBARA	4105
bdy	BANDJALANG	8368
bao	BARASANO	6832
bcj	BARDI	8357
bba	BARIBA	4113
bak	BASHKIR	2163
eus	BASQUE	2714
bbc	BATAK	2413
bbl	BATS	2604
beq	BEEMBE	4123
bej	BEJA	4361
blc	BELLA COOLA	6771
ben	BENGALI	2017
wti	BERTA	4218
bev	BETE	4144
bom	BIROM	4120
bib	BISA	4104
bbo	BOBO-FING	4138
brx	BODO	2515
bor	BORORO	6850
brh	BRAHUI	2917
brb	BRAO	2311
bre	BRETON	2002
bzd	BRIBRI	6801
brv	BRUU	2316
bul	BULGARIAN	2009
bvr	BURARRA	8352
mya	BURMESE	2509
bsk	BURUSHASKI	2715
cbv	CACUA	6864
cad	CADDO	6775
cni	CAMPA	6825
kbh	CAMSA	6863
car	CARIB	6807
cbi	CAYAPA	6803
cyb	CAYUVAVA	6840
cja	CHAM	2411
cha	CHAMORRO	2416
wuu	CHANGZHOU	2503
ctp	CHATINO	6729
chr	CHEROKEE	6781
chp	CHIPEWYAN	6106
cjv	CHUAVE	8611
ckt	CHUKCHI	2708
chv	CHUVASH	2160
con	COFAN	6836
cub	CUBEO	6846
kvn	CUNA	6857
mps	DADIBI	8616
dap	DAFLA	2508
dag	DAGBANI	4110
dta	DAGUR	2176
dal	DAHALO	4372
daj	DAJU	4225
lkt	DAKOTA	6756
daf	DAN	4106
daa	DANGALEAT	4374
dni	DANI	8613
kbv	DERA	8619
dih	DIEGUENO	6743
dip	DINKA	4226
dyo	DIOLA	4108
dif	DIYARI	8367
mdx	DIZI	4363
dow	DOAYO	4128
dts	DOGON	4170
dbl	DYIRBAL	8371
efi	EFIK	4119
etu	EJAGHAM	4125
ekg	EKARI	8650
sja	EPENA PEDEE	6811
eve	EVEN	2167
ewe	EWE	4114
ewo	EWONDO	4141
eya	EYAK	6109
pes	FARSI	2013
faa	FASU	8617
fmp	FE?FE?	4148
fij	FIJIAN	2439
fin	FINNISH	2153
fra	FRENCH	2010
fvr	FUR	4203
cdo	FUZHOU	2505
gaa	GA	4117
gaj	GADSUP	8608
gbc	GARAWA	8345
gbp	GBEYA	4129
gio	GELAO	2436
kat	GEORGIAN	2600
deu	GERMAN	2004
ell	GREEK	2000
guh	GUAHIBO	6830
guc	GUAJIRO	6826
gum	GUAMBIANO	6862
gug	GUARANI	6828
gvn	GUGU-YALANDYI	8364
gbr	GWARI	4140
hts	HADZA	4900
hdn	HAIDA	6100
hak	HAKKA	2502
amf	HAMER	4365
hau	HAUSA	4366
haw	HAWAIIAN	2424
chq	HIGHLAND CHINANTEC	6786
hin	HINDI-URDU	2016
