"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Notes"	"Allophones"	"AllophoneNotes"	"FileNames"
"fwe"	"Fwe"		"p"				"fwe_baumbach1997.pdf"
			"ɻ"				
			"d"				
			"t"				
			"ɡ"				
			"k"				
			"kǀ"				
			"kǀʰ"				
			"ɡǀ"				
			"β"				
			"v"				
			"f"				
			"z"				
			"s"				
			"ʒ"				
			"ʃ"				
			"h"				
			"dz"				
			"d̠ʒ"				
			"t̠ʃ"				
			"m"				
			"ɱ"				
			"n"				
			"ɲ"				
			"ŋ"				
			"w"				
			"j"				
			"bʷ"				
			"pʷ"				
			"dʷ"				
			"dʲʷ"				
			"tʷ"				
			"rʷ"				
			"ɻʷ"				
			"ɡʷ"				
			"kʷ"				
			"βʷ"				
			"vʷ"				
			"fʷ"				
			"lʷ"				
			"zʷ"				
			"sʷ"				
			"ʃʷ"				
			"ʒʷ"				
			"hʷ"				
			"mʷ"				
			"nʷ"				
			"ɻʲ"				
			"βʲ"				
			"mʲ"				
			"a"				
			"ɔ"				
			"u"				
			"ɛ"				
			"i"				
			"ɛ̃"				
			"ĩ"				
			"aː"				
			"ɔː"				
			"uː"				
							
							
"yey"	"Yeyi"		"b"				"yey_baumbach1997.pdf"
			"p"				
			"ɻ"				
			"d"				
			"t̪"				
			"r"				
			"ɟ"				
			"c"				
			"ɡ"				
			"k"				
			"ɡǀ"				
			"kǀ"				
			"ɡǃ"				
			"kǃ"				
			"β"				
			"v"				
			"f"				
			"z"				
			"s"				
			"ʒ"				
			"ʃ"				
			"h"				
			"dz"				
			"ts"				
			"d̠ʒ"				
			"t̠ʃ"				
			"m"				
			"ɱ"				
			"ŋ"				
			"ɲ"				
			"n̪"				
			"w"				
			"j"				
			"bʷ"				
			"pʷ"				
			"dʷ"				
			"tʷ"				
			"rʷ"				
			"ɟʷ"				
			"ɡʷ"				
			"kʷ"				
			"vʷ"				
			"fʷ"				
			"ʃʷ"				
			"hʷ"				
			"dzʷ"				
			"mʷ"				
			"nʷ"				
			"ɲʷ"				
			"ŋʷ"				
			"jʷ"				
			"kǀʷ"				
			"bʲ"				
			"pʲ"				
			"dʲ"				
			"tʲ"				
			"ɻʲ"				
			"ɡʲ"				
			"kʲ"				
			"βʲ"				
			"mʲ"				
			"pʰ"				
			"pʲʰ"				
			"tʰ"				
			"tʰʷ"				
			"cʰ"				
			"cʷʰ"				
			"kʰ"				
			"kʰʷ"				
			"tsʰ"				
			"tsʰʷ"				
			"t̠ʃʰ"				
			"kǀʰ"	"ǀʰ ""ch  [|h] aspirated dental click"""			
			"kǀʰʷ"	"ǀʰʷ ""chw [|hw] aspirated partly labialised dental click"""			
			"kǃʰ"	"ǃʰ ""qh [!h] aspirated alveolar click"""			
			"kǀ̪"				
			"kǃ̪"				
			"a"				
			"ɔ"				
			"u"				
			"ɛ"				
			"i"				
			"ɔ̃"				
			"ɛ̃"				
			"ũ"				
			"aː"				
			"ɔː"				
			"uː"				
			"ɛː"				
			"iː"				
							
							
"cav"	"Cavinena"		"p"				"cav_guillaume2004.pdf"
			"k"				
			"t"				
			"c"				
			"b"				
			"d"				
			"ɟ"				
			"kʷ"				
			"ts"				
			"tɕ"				
			"s"				
			"ɕ"				
			"h"				
			"ɹ"				
			"ʎ"				
			"m"				
			"n"				
			"ɲ"				
			"j"				
			"w"		"[w]"	"""Before a"""	
					"[β̞]"	"""Before e and i"""	
					"[ʋ]"	"""Occasionally before e and i"""	
					"[ɥ]"	"""Occasionally before e and i"""	
			"i"				
			"e"		"[e]"		
					"[ɛ]"		
			"ʊ"		"[ʊ]"		
					"[o]"		
			"a"				
							
							
"ccc"	"Chamicuro"		"p"		"[pʰ]"	"before a voiceless sement"	"ccc_parker1991.pdf"
			"t"		"[tʰ]"	"before a voiceless vowel or word finally"	
			"k"		"[kʰ]"	"cannot interpret environment"	
			"ʔ"				
			"ts"				
			"t̠ʃ"		"[t̠ʃʰ]"	"optional variation; before a word final vowel; at the beginning of a word"	
			"ç"		"[çʰ]"	"optional variation; word initial before a vowel"	
			"h"		"[h]"		
					"[x]"		
					"[ç]"		
			"m"				
			"n"		"[ŋ]"	"before a velar consonant"	
			"ɲ"				
			"s"				
			"ʃ"				
			"ʂ"				
			"l"		"[ɬ]"	"syllable finally"	
					"[dl]"	"optional; a lateral becomes +delayed release between a non-high vowel and any vowel"	
			"ʎ"				
			"r"				
			"w"				
			"j"		"[j̥]"	"syllable finally"	
			"i"		"[ɪ]"	"before a syllable final lateral"	
					"[i̥]"	"optionally; after a voiceless segment and before an optional voiceless segment utterance? Finally"	
			"iː"				
			"e"		"[ɛ]"	"optional; before a nasal; before two consonants; after a sonorant word finally"	
					"[e̥]"	"optionally; after a voiceless segment and before an optional voiceless segment utterance? Finally"	
			"eː"				
			"a"		"[æ]"	"optionally; before /j/, /ʎ/, /w/"	
					"[ə]"	"optionally; word finally or before a word final consonant"	
					"[ḁ]"	"optionally; after a voiceless segment and before an optional voiceless segment utterance? Finally"	
			"aː"				
			"u"				
			"uː"				
			"o"		"[ɔ]"	"optionally; before a syllable final +posterior (velar, glottal) consonant"	
			"oː"				
							
							
"che"	"Chechen"		"p"				"che_nichols1996.pdf"
			"b"				
			"pʼ"				
			"pʰ"				
			"m"				
			"v"		"[v]"	"""Before front vowel"""	
					"[w]"	"""Elsewhere"""	
			"t̪"				
