InventoryID,BibtexKey
1,Cho1967
1,Martin1951
1,Martin1954
1,MartinLee1969
1,Kim1968
1,Kim1972
2,Dulzon1968
2,Krejnovich1968
3,Murkelinskij1967
3,Zhirkov1955
3,Khajdakov1966
4,Kuipers1960
5,RobinsWaterson1952
5,Selmer1935
5,Tschenkeli1958
5,Vogt1938
5,Vogt1939
5,Vogt1958
5,Vogt1971
6,Morgenstierne1945
7,Pinnow1964
7,Pfeiffer1972
7,Grignard1924
8,Lisker1963
8,Krishnamurti1961
8,Kelley1963
9,Emeneau1944
10,GumperzBilibiri1957
11,Biligiri1965
11,Pinnow1959
12,Rabel1961
13,Smith1968
14,Huffman1970a
14,Jacob1968
14,Huffman1970b
15,Thompson1965
16,Dow1972
16,Chao1968
16,Cheng1973b
16,Karlgren1926
17,Chao1970
18,Hashimoto1973
19,Cheng1973a
20,Purnell1965
21,Ray1967
22,Okell1969
23,Matisoff1973
24,Burling1961
25,Jones1961
26,Haudricourt1967
27,Abramson1962
27,Kruatrachue1960
27,Noss1954
27,Noss1964
28,Gedney1965
29,Blood1967
30,Egerod1966
31,Dahl1952
31,Dyen1971
32,Verguin1967
32,MacdonaldSoenyono1967
33,vanderTuuk1971
34,Clayre1973
35,VanSyoc1959
35,Anderson1972
35,Robins1953
35,Robins1957
36,Uhlenbeck1949
36,Uhlenbeck1963
37,SchachterOtanes1972
37,Bloomfield1917
38,Topping1973
39,Tryon1968
39,Haudricourt1971
40,Counts1969
41,Holzknecht1973
42,Hohepa1967
42,WilliamsWilliams1965
42,Biggs1961
43,PukuiElbert1965
44,Douglas1955
44,Douglas1964
45,OGrady1964
46,Sommer1969
46,Capell1967
47,Tryon1970
48,CapellHinch1970
49,HughesLeeding1971
50,Sharpe1972
51,SayersGodfrey1964
52,Cowan1965
53,Kooyers_etal1971
54,Voorhoeve1965
55,Healey1964
56,FrantzFrantz1966
57,Bees1965
58,Pence1966
59,McElhanon1970a
60,HurdHurd1966
61,Bergsland1956
61,Bergsland1959
61,Menovshchikov1968
61,Jakobson1944
62,Thalbitzer1904
62,Rischel1974
62,Kleinschmidt1851
63,Li1946
63,Li1932
63,Li1933
64,Bright1964
65,Golla1970
65,Woodward1964
66,SapirHoijer1967
67,Sapir1923
68,Kuipers1967
69,Snyder1968
70,SapirMorris1939
70,SapirMorris1955
70,Jacobsen1969
71,Boas1947
71,Newman1950
72,Bloomfield1957
73,Voegelin1946
74,Garvin1950
75,BoasDeloria1941
76,Chafe1967
77,Lounsbury1953
78,Crawford1973
78,Ballard1975
79,Rand1968
80,Haas1941
81,Aoki1970
81,Aoki1970a
81,Aoki1966
82,Shipley1956
82,Shipley1964
83,Wonderly1951
84,Aschmann1946
85,Keller1959
86,Kaufman1971
87,Foster1969
88,Bright1957
89,Moshinsky1974
90,Langdon1970
91,Newman1965
92,Trager1971
93,HoijerDozier1949
94,Malecot1963
94,KroeberGrace1960
94,Bright1965
94,Bright1968
95,Whorf1946
95,Voegelin1956
96,Hale1959
96,Saxton1963
97,BlightEunice1976
98,Spotts1953
98,Pike1951
99,PikePike1947
100,HunterPike1969
101,LindskoogBrend1962
102,Gerdel1973
103,LiccardiGrimes1968
104,Bills_etal1969
104,Lastra1968
104,Parker1969
105,Hardman1966
106,EcheverriaContreras1965
107,Taylor1955
108,Tracy1972
109,Holmer1949
110,Dirks1953
111,OttOtt1967
112,Fast1953
113,BeasleyPike1957
114,StolteStolte1971
115,Anderson1959
115,Anderson1962
116,Peasgood1972
116,Hoff1968
117,AgnewPike1957
118,Priest1968
119,GregoresSuarez1967
119,Lunt1973
119,Uldall1956
120,Osborn1948
121,Prost1967
122,BurgessHam1968
123,Applegate1958
124,KraftKraft1973
124,Greenberg1941
124,Abraham1959a
124,Abraham1959
124,Kraft1963
124,Hodge1947
124,HodgeUmaru1963
124,BraunerAshiwajn1965
124,KraftKirk-Greene1973
125,Burquest1971
126,Hoffmann1963
127,Armstrong1964
127,Andrzejewsky1955
127,Andrzejewsky1956
128,Hetzron1969
129,Whiteley1958
130,Palmer1962
131,Leslau1968
131,Klingenheben1966
131,Sumner1957
132,Mitchell1962
132,Tomiche1964
132,Kennedy1960
133,Harrell1962
133,Abdel-Massih1973
133,Harrell1965
134,Borg1973
135,Chayen1973
135,CohenZafrani1968
136,Stevenson1957
136,TuckerBryan1966
137,Welmers1962
137,Welmers1973
138,Sauvageot1965
138,ManessySauvageot1963
138,Ward1963
139,WilsonBendor-Samuel1969
140,Ladefoged1964
140,SchachterFromkin1968
140,Stewart1967
140,Welmers1946
141,Berry1951a
142,Stahlke1970
142,Berry1951
142,Ansre1961
142,Ladefoged1964
143,Williamson1969
143,Carnochan1948
143,Swift_etal1962
143,Ladefoged1968
143,Ward1936
144,Jacquot1962
145,Polome1967
146,Horton1949
147,Doke1926
147,Doke1961
148,Samarin1966
149,Prost1956
150,Lukas1937
151,Crazzolara1960
151,TuckerBryan1966
152,Bell1971
153,Gregersen1961
154,TuckerMpaayei1955
154,TuckerBryan1966
155,Beach1938
156,Fhailigh1968
156,Florence1970
157,Ternes1970
158,Haugen1958
158,Einarsson1949
159,Vanvik1972
159,Vanvik1972a
160,OConner1973
160,Gimson1962
160,Halle1973
160,Fudge1975
160,Trnka1968
161,Moulton1962
161,Philipp1974
161,Werner1972
162,Sten1963
163,Head1964
163,Camara1972
164,Navarro1961
164,Harris1969
164,SaportaContreras1962
165,Agard1958
165,Ruhlen1973
166,JonesWard1969
166,Halle1959
167,Aronson1968
167,Klagstad1958
168,Senn1966
168,Augustitis1964
168,Ambrazas_etal1966
169,Newmark1957
170,Householder_etal1964
170,Newton1972
170,Kaisse1975
170,Kaisse1976
171,Allen1950
172,Obolensky_etal1963
173,Shafeev1964
174,KelkarTrisal1964
175,GillGleason1963
176,Kelkar1968
176,VermeerSharma1966
176,Pinnow1953
176,Srivastava1969
177,FergusonChowdhury1960
178,CoatesSilva1960
179,Ndiaye1970
179,Gavel1929
180,Lehtinen1964
180,Harms1964
180,Austerlitz1967
180,Hammarberg1974
180,Kiparsky1968
180,Harms1966
181,Ristinen1960
182,Lytkin1966
182,Bubrich1949
183,Kalman1972
183,Banhidi_etal1965
183,Hall1938
183,Hall1944
184,Gulya1966
184,Steinitz1950
184,Katz1975
185,Hajdu1963
185,Decsy1966
185,Ristinen1965
185,Ristinen1968
185,Katz1975
186,Swift1963
186,Lees1961
186,Underhill1976
187,HouseholderLofti1965
188,HerbertPoppe1963
189,Kruger1961
189,Andreev1966
190,Krueger1962
190,Bohtlingk1964
191,Hangin1968
191,Luvsanvandan1964
191,Street1963
192,Novikova1960
193,Krejnovich1968b
193,Krejnovich1958
194,Panfilov1962
194,Panfilov1968
195,Skorik1968
195,Skorik1961
196,Simeon1969
197,Bloch1950
197,Martin1952
197,Jorden1963
198,Bouny1977
199,Olmsted1964
199,Olmsted1966
200,Holzknecht1973
201,NO SOURCE GIVEN
202,Roberts1987
203,Huisman1973
203,Huisman_etal1981
203,HuismanLloyd1981
204,Hyman1979
205,Herault1971
206,Kari1979
206,KariBuck1975
207,Patrie1982
207,Simeon1969
208,Dolphyne1988
208,Ladefoged1964
208,SchachterFromkin1968
208,Stewart1967
208,Welmers1946
209,Edwards1978
210,Rand1968
211,Clairis1977
212,Duponchel1971
212,DumestreDuponchel1971
213,Bergsland1956
213,Bergsland1959
213,Jakobson1944
213,Menovshchikov1968
214,Sharpe1972
215,Newmark1957
216,Osborn1948
217,Fast1953
217,Wise1958
218,Lydall1976
219,Klingenheben1966
219,Leslau1968
219,Sumner1957
220,Anderson1980
220,Di-Luzio1972
221,Bruce1984
222,Bauernschmidt1965
222,Longacre1966
223,Burquest1971
224,Landaburu1979
225,Douglas1955
225,Douglas1964
226,BurgessHam1968
227,Brown1914
227,VoegelinVoegelin1966
228,Kodzasov1977
229,Rich1963
230,EcheverriaContreras1965
230,Key1978
231,Kennedy1960
231,Mitchell1962
231,Tomiche1964
232,SaintPike1962
233,Charachidze1981
233,Zhirkov1936
234,Hetzron1969
235,Najlis1966
236,HouseholderLofti1965
237,Poppe1964
238,Bird_etal1977
239,StolteStolte1971
240,Welmers1952
241,vanderTuuk1971
242,Desheriev1953
243,leBrisProst1981
243,Morse1976
244,Dell1981
245,Metcalfe1971
246,Cook1969a
247,Verheijen1986
248,Cunningham1969
249,Hudson1974
249,Hudson1976
250,FergusonChowdhury1960
251,Jacquot1962
251,Jacquot1981
252,WerleGbalehi1976
253,Naden1973b
253,Naden1973
254,Wheatley1973
254,Wheatley1969
255,Nater1984
255,Newman1947
256,WaltonWalton1967
257,Bouquiaux1970
257,Wolff1959
258,Crowell1979
259,Keller1976
260,Bothorel1982
260,Ternes1970
261,De-Armond1975
261,Emeneau1937
261,Emeneau1962
262,Thongkum1979
263,Bhat1968
264,Morgenstierne1945
265,Aronson1968
265,Bidwell1968
265,Klagstad1958
265,Scatton1984
266,GlasgowGlasgow1967
267,ParkerParker1974
268,Arroyo1972
269,Chafe1976
270,Stell1972
271,Das1977
272,Hoff1968
272,Peasgood1972
273,LindskoogBrend1962
274,Diffloth1984
274,Thongkum1984
275,Anderton1989
275,Cathcart1979
276,Jiahua1960
277,Costenoble1940
277,Seiden1960
277,Topping1969
277,Topping1973
278,Li1932
278,Li1933
278,Li1946
279,Robbins1968
279,Robbins1975
279,Robbins1961
280,BenderBender1946
280,Walker1975
280,Cook1979
281,Kruger1961
282,Blood1967
283,Kinkade1963
284,Thurman1970
285,Skorik1961
285,Skorik1968
286,Chao1968
286,Cheng1973b
286,Dow1972
286,Jiahua1960
286,Karlgren1926
286,Hanyu1960
287,Liang1984
287,Liang1984b
287,OuyangZheng1980
287,OuyangZheng1963
288,Dirks1953
288,Payne1981
289,Borman1962
290,Santos1977
291,Wang1985
291,Wang1983
291,Purnell1972
292,Taylor1955
293,Henderson1965
294,Pride1965
295,Salser1971
296,Key1961
297,Fedry1977
298,BearthZemp1967
299,WilsonBendor-Samuel1969
300,Thelwall1981
300,TuckerBryan1966
301,Tucker_etal1977
301,Nurse1986
302,Ray1967
303,Dixon1972
304,Moulton1962
304,Wangler1972
305,Austin1981
306,Langdon1970
307,Andersen1987
307,Malou1988
308,Bromley1961
308,vanderStap1966
309,GuoqiaoYang1988
310,Wiering1974
311,Li1973
311,Li1977-dru
312,Anonymous1982
313,Bendor-Samuel_etal1989
313,Morphy1983
314,RoseMorphy1982
315,Sapir1965
316,Cook1969b
317,Doble1962
317,Doble1987
317,Steltenpool1969
318,Householder_etal1964
318,Newton1972
318,Pring1967
319,Krauss1975
320,Watters1981
321,Gavel1929
321,Ndiaye1970
322,Novikova1960
323,Ladefoged1964
323,Stahlke1970
323,Berry1951
324,Abega1970
324,NnomoMbezele1982
324,Redden1979
325,Krauss1965
326,LoewekeMay1964
327,Bell1968
327,Bell1971
327,Stevenson1957
328,Dixon1988
329,Austerlitz1967
329,Hammarberg1974
329,Harms1964
329,Harms1966
329,Lehtinen1964
330,Hyman1972
331,Sten1963
332,Lapenda1968
333,Beaton1968
333,TuckerTucker1966
334,Li1977
335,Berry1951a
336,FrantzFrantz1966
337,Furby1974
338,MoninoRoulon1972
338,Samarin1966
339,HymanMagaji1970
340,He1983
340,He1981
341,Avrorin1968
342,Fhailigh1968
342,Sommerfelt1964
342,Brothers1905
343,Allan1976a
344,Holmer1949
344,Mansen1967
345,GregoresSuarez1967
345,Lunt1973
345,Uldall1956
346,KondoKondo1967
347,BranksBranks1973
347,Caudmont1964
348,Susnik1974
349,Oates1964
349,OatesOates1964
