InventoryID	BibtexKey	Source
1	Cho1967	spa
1	Martin1951	spa
1	Martin1954	spa
1	MartinLee1969	spa
1	Kim1968	spa
1	Kim1972	spa
2	Dulzon1968	spa
2	Krejnovich1968	spa
3	Murkelinskij1967	spa
3	Zhirkov1955	spa
3	Khajdakov1966	spa
4	Kuipers1960	spa
5	RobinsWaterson1952	spa
5	Selmer1935	spa
5	Tschenkeli1958	spa
5	Vogt1938	spa
5	Vogt1939	spa
5	Vogt1958	spa
5	Vogt1971	spa
6	Morgenstierne1945	spa
7	Pinnow1964	spa
7	Pfeiffer1972	spa
7	Grignard1924	spa
8	Lisker1963	spa
8	Krishnamurti1961	spa
8	Kelley1963	spa
9	Emeneau1944	spa
10	GumperzBilibiri1957	spa
11	Biligiri1965	spa
11	Pinnow1959	spa
12	Rabel1961	spa
13	Smith1968	spa
14	Huffman1970a	spa
14	Jacob1968	spa
14	Huffman1970b	spa
15	Thompson1965	spa
16	Dow1972	spa
16	Chao1968	spa
16	Cheng1973b	spa
16	Karlgren1926	spa
17	Chao1970	spa
18	Hashimoto1973	spa
19	Cheng1973a	spa
20	Purnell1965	spa
21	Ray1967	spa
22	Okell1969	spa
23	Matisoff1973	spa
24	Burling1961	spa
25	Jones1961	spa
26	Haudricourt1967	spa
27	Abramson1962	spa
27	Kruatrachue1960	spa
27	Noss1954	spa
27	Noss1964	spa
28	Gedney1965	spa
29	Blood1967	spa
30	Egerod1966	spa
31	Dahl1952	spa
31	Dyen1971	spa
32	Verguin1967	spa
32	MacdonaldSoenyono1967	spa
33	vanderTuuk1971	spa
34	Clayre1973	spa
35	VanSyoc1959	spa
35	Anderson1972	spa
35	Robins1953	spa
35	Robins1957	spa
36	Uhlenbeck1949	spa
36	Uhlenbeck1963	spa
37	SchachterOtanes1972	spa
37	Bloomfield1917	spa
38	Topping1973	spa
39	Tryon1968	spa
39	Haudricourt1971	spa
40	Counts1969	spa
41	Holzknecht1973	spa
42	Hohepa1967	spa
42	WilliamsWilliams1965	spa
42	Biggs1961	spa
43	PukuiElbert1965	spa
44	Douglas1955	spa
44	Douglas1964	spa
45	OGrady1964	spa
46	Sommer1969	spa
46	Capell1967	spa
47	Tryon1970	spa
48	CapellHinch1970	spa
49	HughesLeeding1971	spa
50	Sharpe1972	spa
51	SayersGodfrey1964	spa
52	Cowan1965	spa
53	Kooyers_etal1971	spa
54	Voorhoeve1965	spa
55	Healey1964	spa
56	FrantzFrantz1966	spa
57	Bees1965	spa
58	Pence1966	spa
59	McElhanon1970a	spa
60	HurdHurd1966	spa
61	Bergsland1956	spa
61	Bergsland1959	spa
61	Menovshchikov1968	spa
61	Jakobson1944	spa
62	Thalbitzer1904	spa
62	Rischel1974	spa
62	Kleinschmidt1851	spa
63	Li1946	spa
63	Li1932	spa
63	Li1933	spa
64	Bright1964	spa
65	Golla1970	spa
65	Woodward1964	spa
66	SapirHoijer1967	spa
67	Sapir1923	spa
