InventoryID	LanguageCode	Glottocode	BibtexKey	Source
1	kor	kore1280	Cho1967	spa
1	kor	kore1280	Martin1951	spa
1	kor	kore1280	Martin1954	spa
1	kor	kore1280	MartinLee1969	spa
1	kor	kore1280	Kim1968	spa
1	kor	kore1280	Kim1972	spa
2	ket	kett1243	Dulzon1968	spa
2	ket	kett1243	Krejnovich1968	spa
3	lbe	lakk1252	Murkelinskij1967	spa
3	lbe	lakk1252	Zhirkov1955	spa
3	lbe	lakk1252	Khajdakov1966	spa
4	kbd	kaba1278	Kuipers1960	spa
5	kat	nucl1302	RobinsWaterson1952	spa
5	kat	nucl1302	Selmer1935	spa
5	kat	nucl1302	Tschenkeli1958	spa
5	kat	nucl1302	Vogt1938	spa
5	kat	nucl1302	Vogt1939	spa
5	kat	nucl1302	Vogt1958	spa
5	kat	nucl1302	Vogt1971	spa
6	bsk	buru1296	Morgenstierne1945	spa
7	kru	kuru1302	Pinnow1964	spa
7	kru	kuru1302	Pfeiffer1972	spa
7	kru	kuru1302	Grignard1924	spa
8	tel	telu1262	Lisker1963	spa
8	tel	telu1262	Krishnamurti1961	spa
8	tel	telu1262	Kelley1963	spa
9	kfe	kota1263	Emeneau1944	spa
10	unr	mund1320	GumperzBilibiri1957	spa
11	khr	khar1287	Biligiri1965	spa
11	khr	khar1287	Pinnow1959	spa
12	kha	khas1269	Rabel1961	spa
13	sed	seda1262	Smith1968	spa
14	khm	cent1989	Huffman1970a	spa
14	khm	cent1989	Jacob1968	spa
14	khm	cent1989	Huffman1970b	spa
15	vie	viet1252	Thompson1965	spa
16	cmn	mand1415	Dow1972	spa
16	cmn	mand1415	Chao1968	spa
16	cmn	mand1415	Cheng1973b	spa
16	cmn	mand1415	Karlgren1926	spa
17	wuu	wuch1236	Chao1970	spa
18	hak	hakk1236	Hashimoto1973	spa
19	yue	yuec1235	Cheng1973a	spa
20	ium	iumi1238	Purnell1965	spa
21	njz	nisi1239	Ray1967	spa
22	mya	nucl1310	Okell1969	spa
23	lhu	lahu1253	Matisoff1973	spa
24	grt	garo1247	Burling1961	spa
25	ksw	sgaw1245	Jones1961	spa
26	lbc	lakk1238	Haudricourt1967	spa
27	tha	thai1261	Abramson1962	spa
27	tha	thai1261	Kruatrachue1960	spa
27	tha	thai1261	Noss1954	spa
27	tha	thai1261	Noss1964	spa
28	pcc	bouy1240	Gedney1965	spa
29	cja	west2650	Blood1967	spa
30	tay	atay1247	Egerod1966	spa
31	plt	plat1254	Dahl1952	spa
31	plt	plat1254	Dyen1971	spa
32	zsm	stan1306	Verguin1967	spa
32	zsm	stan1306	MacdonaldSoenyono1967	spa
33	btx	bata1293	vanderTuuk1971	spa
34	snv	saba1265	Clayre1973	spa
35	sun	sund1252	VanSyoc1959	spa
35	sun	sund1252	Anderson1972	spa
35	sun	sund1252	Robins1953	spa
35	sun	sund1252	Robins1957	spa
36	jav	java1254	Uhlenbeck1949	spa
36	jav	java1254	Uhlenbeck1963	spa
37	tgl	taga1270	SchachterOtanes1972	spa
37	tgl	taga1270	Bloomfield1917	spa
38	cha	cham1312	Topping1973	spa
39	iai	iaai1238	Tryon1968	spa
39	iai	iaai1238	Haudricourt1971	spa
40	khl	lusi1240	Counts1969	spa
41	adz	adze1240	Holzknecht1973	spa
42	mri	maor1246	Hohepa1967	spa
42	mri	maor1246	WilliamsWilliams1965	spa
42	mri	maor1246	Biggs1961	spa
43	haw	hawa1245	PukuiElbert1965	spa
44	ant	anta1253	Douglas1955	spa
44	ant	anta1253	Douglas1964	spa
45	nna	nyan1301	OGrady1964	spa
46	kjn	kunj1245	Sommer1969	spa
46	kjn	kunj1245	Capell1967	spa
47	zmr	mara1386	Tryon1970	spa
48	mph	maun1240	CapellHinch1970	spa
49	nuy	nung1290	HughesLeeding1971	spa
50	alh	alaw1244	Sharpe1972	spa
51	wim	wikm1247	SayersGodfrey1964	spa
52	set	nucl1632	Cowan1965	spa
53	kmo	kwom1262	Kooyers_etal1971	spa
54	tml	tamn1235	Voorhoeve1965	spa
55	tlf	tele1256	Healey1964	spa
56	gaj	gads1258	FrantzFrantz1966	spa
57	auy	awiy1238	Bees1965	spa
58	kup	kuni1267	Pence1966	spa
59	spl	sele1250	McElhanon1970a	spa
60	nas	naas1242	HurdHurd1966	spa
61	ale	aleu1260	Bergsland1956	spa
61	ale	aleu1260	Bergsland1959	spa
61	ale	aleu1260	Menovshchikov1968	spa
61	ale	aleu1260	Jakobson1944	spa
62	kal	kala1399	Thalbitzer1904	spa
62	kal	kala1399	Rischel1974	spa
62	kal	kala1399	Kleinschmidt1851	spa
63	chp	chip1261	Li1946	spa
63	chp	chip1261	Li1932	spa
63	chp	chip1261	Li1933	spa
64	tol	tolo1259	Bright1964	spa
65	hup	hupa1239	Golla1970	spa
65	hup	hupa1239	Woodward1964	spa
66	nav	nava1243	SapirHoijer1967	spa
67	hdn	nort2938	Sapir1923	spa
68	squ	squa1248	Kuipers1967	spa
69	str	stra1244	Snyder1968	spa
70	nuk	noot1239	SapirMorris1939	spa
70	nuk	noot1239	SapirMorris1955	spa
70	nuk	noot1239	Jacobsen1969	spa
71	kwk	kwak1269	Boas1947	spa
71	kwk	kwak1269	Newman1950	spa
72	ojg	east2542	Bloomfield1957	spa
73	unm	unam1242	Voegelin1946	spa
74	wic	wich1260	Garvin1950	spa
75	lkt	lako1247	BoasDeloria1941	spa
76	see	sene1264	Chafe1967	spa
77	one	onei1249	Lounsbury1953	spa
78	yuc	yuch1247	Crawford1973	spa
78	yuc	yuch1247	Ballard1975	spa
79	akz	alab1237	Rand1968	spa
80	tun	tuni1252	Haas1941	spa
81	nez	nezp1238	Aoki1970	spa
81	nez	nezp1238	Aoki1970a	spa
81	nez	nezp1238	Aoki1966	spa
82	nmu	nort2952	Shipley1956	spa
82	nmu	nort2952	Shipley1964	spa
83	zoc	copa1236	Wonderly1951	spa
84	top	papa1238	Aschmann1946	spa
85	chf	taba1266	Keller1959	spa
86	tzh	tzel1254	Kaufman1971	spa
87	tsz	pure1242	Foster1969	spa
88	kyh	karo1304	Bright1957	spa
89	pom	sout2982	Moshinsky1974	spa
90	dih	kumi1248	Langdon1970	spa
91	zun	zuni1245	Newman1965	spa
92	tix	sout2961	Trager1971	spa
93	tew	tewa1260	HoijerDozier1949	spa
94	lui	luis1253	Malecot1963	spa
94	lui	luis1253	KroeberGrace1960	spa
94	lui	luis1253	Bright1965	spa
94	lui	luis1253	Bright1968	spa
95	hop	hopi1249	Whorf1946	spa
95	hop	hopi1249	Voegelin1956	spa
96	ood	toho1245	Hale1959	spa
96	ood	toho1245	Saxton1963	spa
97	ote	mezq1235	BlightEunice1976	spa
98	maz	cent2144	Spotts1953	spa
98	maz	cent2144	Pike1951	spa
99	maq	chiq1250	PikePike1947	spa
100	mig	sanm1295	HunterPike1969	spa
101	cbi	chac1249	LindskoogBrend1962	spa
102	pbb	paez1247	Gerdel1973	spa
103	ito	iton1250	LiccardiGrimes1968	spa
104	quh	sout2991	Bills_etal1969	spa
104	quh	sout2991	Lastra1968	spa
104	quh	sout2991	Lastra1968	spa
104	quh	sout2991	Parker1969	spa
105	ayr	cent2142	Hardman1966	spa
106	arn	mapu1245	EcheverriaContreras1965	spa
107	crb	isla1278	Taylor1955	spa
108	wap	wapi1253	Tracy1972	spa
109	guc	wayu1243	Holmer1949	spa
110	cni	asha1243	Dirks1953	spa
111	ign	igna1246	OttOtt1967	spa
112	ame	yane1238	Fast1953	spa
113	jiv	shua1257	BeasleyPike1957	spa
114	bao	waim1255	StolteStolte1971	spa
115	tca	ticu1245	Anderson1959	spa
115	tca	ticu1245	Anderson1962	spa
116	car	gali1262	Peasgood1972	spa
116	car	gali1262	Hoff1968	spa
117	oca	ocai1244	AgnewPike1957	spa
118	srq	siri1273	Priest1968	spa
119	gug	para1311	GregoresSuarez1967	spa
119	gug	para1311	Lunt1973	spa
119	gug	para1311	Uldall1956	spa
120	amc	amah1246	Osborn1948	spa
121	cao	chac1251	Prost1967	spa
122	apn	apin1244	BurgessHam1968	spa
123	rif	tari1263	Applegate1958	spa
124	hau	haus1257	KraftKraft1973	spa
124	hau	haus1257	Greenberg1941	spa
124	hau	haus1257	Abraham1959a	spa
124	hau	haus1257	Abraham1959	spa
124	hau	haus1257	Kraft1963	spa
124	hau	haus1257	Hodge1947	spa
124	hau	haus1257	HodgeUmaru1963	spa
124	hau	haus1257	BraunerAshiwajn1965	spa
124	hau	haus1257	KraftKirk-Greene1973	spa
125	anc	ngas1240	Burquest1971	spa
126	mrt	marg1265	Hoffmann1963	spa
127	som	soma1255	Armstrong1964	spa
127	som	soma1255	Andrzejewsky1955	spa
127	som	soma1255	Andrzejewsky1956	spa
128	awn	awng1244	Hetzron1969	spa
129	irk	iraq1241	Whiteley1958	spa
130	tig	tigr1270	Palmer1962	spa
131	amh	amha1245	Leslau1968	spa
131	amh	amha1245	Klingenheben1966	spa
131	amh	amha1245	Sumner1957	spa
132	arz	egyp1253	Mitchell1962	spa
132	arz	egyp1253	Tomiche1964	spa
132	arz	egyp1253	Kennedy1960	spa
133	ary	moro1292	Harrell1962	spa
133	ary	moro1292	Abdel-Massih1973	spa
133	ary	moro1292	Harrell1965	spa
134	mlt	malt1254	Borg1973	spa
135	heb	hebr1245	Chayen1973	spa
135	heb	hebr1245	CohenZafrani1968	spa
136	xtc	katc1249	Stevenson1957	spa
136	xtc	katc1249	TuckerBryan1966	spa
137	xpe	libe1247	Welmers1962	spa
137	xpe	libe1247	Welmers1973	spa
138	wol	nucl1347	Sauvageot1965	spa
138	wol	nucl1347	ManessySauvageot1963	spa
138	wol	nucl1347	Ward1963	spa
139	dag	dagb1246	WilsonBendor-Samuel1969	spa
140	aka	akan1250	Ladefoged1964	spa
140	aka	akan1250	SchachterFromkin1968	spa
140	aka	akan1250	Stewart1967	spa
140	aka	akan1250	Welmers1946	spa
141	gaa	gaaa1244	Berry1951a	spa
142	ewe	ewee1241	Stahlke1970	spa
142	ewe	ewee1241	Berry1951	spa
142	ewe	ewee1241	Ansre1961	spa
142	ewe	ewee1241	Ladefoged1964	spa
143	ibo	nucl1417	Williamson1969	spa
143	ibo	nucl1417	Carnochan1948	spa
143	ibo	nucl1417	Swift_etal1962	spa
143	ibo	nucl1417	Ladefoged1968	spa
143	ibo	nucl1417	Ward1936	spa
144	beq	beem1239	Jacquot1962	spa
145	swh	swah1253	Polome1967	spa
146	lue	luva1239	Horton1949	spa
147	zul	zulu1248	Doke1926	spa
147	zul	zulu1248	Doke1961	spa
148	gbp	gbay1287	Samarin1966	spa
149	ses	koyr1242	Prost1956	spa
150	knc	cent2050	Lukas1937	spa
151	lgg	lugb1240	Crazzolara1960	spa
151	lgg	lugb1240	TuckerBryan1966	spa
152	fia	nobi1240	Bell1971	spa
153	luo	luok1236	Gregersen1961	spa
154	mas	masa1300	TuckerMpaayei1955	spa
154	mas	masa1300	TuckerBryan1966	spa
155	naq	nama1264	Beach1938	spa
156	gle	iris1253	Fhailigh1968	spa
156	gle	iris1253	Florence1970	spa
157	bre	bret1244	Ternes1970	spa
158	isl	icel1247	Haugen1958	spa
158	isl	icel1247	Einarsson1949	spa
159	nob	norw1259	Vanvik1972	spa
159	nob	norw1259	Vanvik1972a	spa
160	eng	stan1293	OConner1973	spa
160	eng	stan1293	Gimson1962	spa
160	eng	stan1293	Halle1973	spa
160	eng	stan1293	Fudge1975	spa
160	eng	stan1293	Trnka1968	spa
161	deu	stan1295	Moulton1962	spa
161	deu	stan1295	Philipp1974	spa
161	deu	stan1295	Werner1972	spa
162	fra	stan1290	Sten1963	spa
163	por	port1283	Head1964	spa
163	por	port1283	Camara1972	spa
164	spa	stan1288	Navarro1961	spa
164	spa	stan1288	Harris1969	spa
164	spa	stan1288	SaportaContreras1962	spa
165	ron	roma1327	Agard1958	spa
165	ron	roma1327	Ruhlen1973	spa
166	rus	russ1263	JonesWard1969	spa
166	rus	russ1263	Halle1959	spa
167	bul	bulg1262	Aronson1968	spa
