InventoryID	LanguageCode	Glottocode
1	kor	kore1280
2	ket	kett1243
3	lbe	lakk1252
4	kbd	kaba1278
5	kat	nucl1302
6	bsk	buru1296
7	kru	kuru1302
8	tel	telu1262
9	kfe	kota1263
10	unr	mund1320
11	khr	khar1287
12	kha	khas1269
13	sed	seda1262
14	khm	cent1989
15	vie	viet1252
16	cmn	mand1415
17	wuu	wuch1236
18	hak	hakk1236
19	yue	yuec1235
20	ium	iumi1238
21	dap	nisi1239
22	mya	nucl1310
23	lhu	lahu1253
24	grt	garo1247
25	ksw	sgaw1245
26	lbc	lakk1238
27	tha	thai1261
28	pcc	bouy1240
29	cja	west2650
30	tay	atay1247
31	plt	plat1254
32	zsm	stan1306
33	btx	bata1293
34	snv	saba1265
35	sun	sund1252
36	jav	java1254
37	tgl	taga1270
38	cha	cham1312
39	iai	iaai1238
40	khl	lusi1240
41	adz	adze1240
42	mri	maor1246
43	haw	hawa1245
44	ant	anta1253
45	nna	nyan1301
46	kjn	kunj1245
47	zmr	mara1386
48	mph	maun1240
49	nuy	nung1290
50	alh	alaw1244
51	wim	wikm1247
52	set	nucl1632
53	kmo	kwom1262
54	tml	tamn1235
55	tlf	tele1256
56	gaj	gads1258
57	auy	awiy1238
58	kup	kuni1267
59	spl	sele1250
60	nas	naas1242
61	ale	aleu1260
62	kal	kala1399
63	chp	chip1261
64	tol	tolo1259
65	hup	hupa1239
66	nav	nava1243
67	hdn	nort2938
68	squ	squa1248
69	str	stra1244
70	noo	noot1239
71	kwk	kwak1269
72	ojg	east2542
73	unm	unam1242
74	wic	wich1260
75	lkt	lako1247
76	see	sene1264
77	one	onei1249
78	yuc	yuch1247
79	akz	alab1237
80	tun	tuni1252
81	nez	nezp1238
82	nmu	nort2952
83	zoc	copa1236
84	top	papa1238
85	chf	taba1266
86	tzh	tzel1254
87	tsz	pure1242
88	kyh	karo1304
89	pom	sout2982
90	dih	kumi1248
91	zun	zuni1245
92	tix	sout2961
93	tew	tewa1260
94	lui	luis1253
95	hop	hopi1249
96	ood	toho1245
97	ote	mezq1235
98	maz	cent2144
99	maq	chiq1250
100	mig	sanm1295
101	cbi	chac1249
102	pbb	paez1247
103	ito	iton1250
104	quh	sout2991
105	ayr	cent2142
106	arn	mapu1245
107	crb	isla1278
108	wap	wapi1253
109	guc	wayu1243
110	cni	asha1243
111	ign	igna1246
112	ame	yane1238
113	jiv	shua1257
114	bao	waim1255
115	tca	ticu1245
116	car	gali1262
117	oca	ocai1244
118	srq	siri1273
119	gug	para1311
120	amc	amah1246
121	cao	chac1251
122	apn	apin1244
123	rif	tari1263
124	hau	haus1257
125	anc	ngas1240
126	mrt	marg1265
127	som	soma1255
128	awn	awng1244
129	irk	iraq1241
130	tig	tigr1270
131	amh	amha1245
132	arz	egyp1253
133	ary	moro1292
134	mlt	malt1254
135	heb	hebr1245
136	xtc	katc1249
137	xpe	libe1247
138	wol	nucl1347
139	dag	dagb1246
140	aka	akan1250
141	gaa	gaaa1244
142	ewe	ewee1241
143	ibo	nucl1417
144	beq	beem1239
145	swh	swah1253
146	lue	luva1239
147	zul	zulu1248
148	gbp	gbay1287
149	ses	koyr1242
150	knc	cent2050
151	lgg	lugb1240
152	fia	nobi1240
153	luo	luok1236
154	mas	masa1300
155	naq	nama1264
156	gle	iris1253
157	bre	bret1244
158	isl	icel1247
159	nob	norw1259
160	eng	stan1293
161	deu	stan1295
162	fra	stan1290
163	por	port1283
164	spa	stan1288
165	ron	roma1327
166	rus	russ1263
167	bul	bulg1262
168	lit	lith1251
169	als	tosk1239
170	ell	mode1248
171	hye	nucl1235
172	pes	west2369
173	pst	cent1973
174	kas	kash1277
175	pan	panj1256
176	hin	hind1269
177	ben	beng1280
178	sin	sinh1246
179	eus	basq1248
180	fin	finn1318
181	mhr	east2328
182	kpv	komi1268
183	hun	hung1274
184	kca	khan1273
185	yrk	nene1249
186	tur	nucl1301
187	azb	sout2697
188	kir	kirg1245
189	chv	chuv1255
190	sah	yaku1245
191	khk	halh1238
192	eve	even1260
193	yux	sout2750
194	niv	gily1242
195	ckt	chuk1273
196	ain	ainu1240
197	jpn	nucl1643
198	aal	afad1236
199	acv	achu1247
200	adz	adze1240
201	aer	east2379
202	aey	amel1241
203	agm	anga1290
204	agq	aghe1239
205	ahp	apro1235
206	aht	ahte1237
207	ain	ainu1240
208	aka	akan1250
209	ake	akaw1239
210	akz	alab1237
211	alc	qawa1238
212	ald	alla1248
213	ale	aleu1260
214	alh	alaw1244
215	als	tosk1239
216	amc	amah1246
217	ame	yane1238
218	amf	hame1242
219	amh	amha1245
220	amo	amoo1242
