"InventoryID","ISO6393","Glottocode","LanguageName","Source"
1,"kor","kore1280","Korean","spa"
2,"ket","kett1243","Ket","spa"
3,"lbe","lakk1252","Lak","spa"
4,"kbd","kaba1278","Kabardian","spa"
5,"kat","nucl1302","Georgian","spa"
6,"bsk","buru1296","Burushaski","spa"
7,"kru","kuru1302","Kurukh","spa"
8,"tel","telu1262","Telugu","spa"
9,"kfe","kota1263","Kota","spa"
10,"unr","mund1320","Mundari","spa"
11,"khr","khar1287","Kharia","spa"
12,"kha","khas1269","Khasi","spa"
13,"sed","seda1262","Sedang","spa"
14,"khm","cent1989","Cambodian","spa"
15,"vie","viet1252","Vietnamese","spa"
16,"cmn","mand1415","Mandarin Chinese","spa"
17,"wuu","wuch1236","Wu","spa"
18,"hak","hakk1236","Hakka","spa"
19,"yue","yuec1235","Cantonese","spa"
20,"ium","iumi1238","Yao","spa"
21,"njz","nyis1236","Dafla","spa"
22,"mya","nucl1310","Burmese","spa"
23,"lhu","lahu1253","Lahu","spa"
24,"grt","garo1247","Garo","spa"
25,"ksw","sgaw1245","Karen","spa"
26,"lbc","lakk1238","Lakkia","spa"
27,"tha","thai1261","Thai","spa"
28,"pcc","bouy1240","Yay","spa"
29,"cja","west2650","Cham","spa"
30,"tay","atay1247","Atayal","spa"
31,"plt","plat1254","Malagasy","spa"
32,"zsm","stan1306","Malay","spa"
33,"bbc","bata1289","Batak","spa"
34,"snv","saba1265","Sa'ban","spa"
35,"sun","sund1252","Sundanese","spa"
36,"jav","java1254","Javanese","spa"
37,"tgl","taga1270","Tagalog","spa"
38,"cha","cham1312","Chamorro","spa"
39,"iai","iaai1238","Iai","spa"
40,"khl","kali1299","Kaliai","spa"
41,"adz","adze1240","Adzera","spa"
42,"mri","maor1246","Maori","spa"
43,"haw","hawa1245","Hawaiian","spa"
44,"ant","anta1253","Western Desert","spa"
45,"nna","nyan1301","Nyangumata","spa"
46,"kjn","kunj1245","Kunjen","spa"
47,"zmr","mara1386","Maranungku","spa"
48,"mph","maun1240","Maung","spa"
49,"nuy","nung1290","Nunggubuyu","spa"
50,"alh","alaw1244","Alawa","spa"
51,"wim","wikm1247","Wik-Munkan","spa"
52,"set","nucl1632","Sentani","spa"
53,"kmo","kwom1262","Washkuk","spa"
54,"tml","tamn1235","Asmat","spa"
55,"tlf","tele1256","Telefol","spa"
56,"gaj","gads1258","Gadsup","spa"
57,"auy","awiy1238","Auyana","spa"
58,"kup","kuni1267","Kunimaipa","spa"
59,"spl","sele1250","Selepet","spa"
60,"nas","naas1242","Nasioi","spa"
61,"ale","aleu1260","Aleut","spa"
62,"kal","kala1399","Inuit","spa"
63,"chp","chip1261","Chipewyan","spa"
64,"tol","tolo1259","Chasta Costa","spa"
65,"hup","hupa1239","Hupa","spa"
66,"nav","nava1243","Navaho","spa"
67,"hdn","nort2938","Haida","spa"
68,"squ","squa1248","Squamish","spa"
69,"str","stra1244","Salish","spa"
70,"nuk","nuuc1236","Nootka","spa"
71,"kwk","kwak1269","Kwakiutl","spa"
72,"ojg","east2542","Ojibwa","spa"
73,"unm","unam1242","Delaware","spa"
74,"wic","wich1260","Wichita","spa"
75,"lkt","lako1247","Dakota","spa"
76,"see","sene1264","Seneca","spa"
77,"one","onei1249","Oneida","spa"
78,"yuc","yuch1247","Yuchi","spa"
79,"akz","alab1237","Alabama","spa"
80,"tun","tuni1252","Tunica","spa"
81,"nez","nezp1238","Nez Perce","spa"
82,"nmu","nort2952","Maidu","spa"
83,"zoc","copa1236","Zoque","spa"
84,"top","papa1238","Totonac","spa"
85,"chf","taba1266","Chontal","spa"
86,"tzh","tzel1254","Tzeltal","spa"
87,"tsz","pure1242","Tarascan","spa"
88,"kyh","karo1304","Karok","spa"
89,"pom","sout2982","Pomo","spa"
90,"dih","kumi1248","Digueno","spa"
91,"zun","zuni1245","Zuni","spa"
92,"tix","sout2961","Tiwa","spa"
93,"tew","tewa1260","Tewa","spa"
94,"lui","luis1253","Luiseno","spa"
95,"hop","hopi1249","Hopi","spa"
96,"ood","toho1245","Pima","spa"
97,"ote","mezq1235","Otomi","spa"
98,"maz","cent2144","Mazahua","spa"
99,"maq","chiq1250","Mazateco","spa"
100,"mig","sanm1295","Mixtec","spa"
101,"cbi","chac1249","Cayapa","spa"
102,"pbb","paez1247","Paez","spa"
103,"ito","iton1250","Itonama","spa"
104,"quh","sout2991","Quechua","spa"
105,"jqr","jaqa1244","Aymara","spa"
106,"arn","mapu1245","Araucanian","spa"
107,"crb","isla1278","Island Carib","spa"
108,"wap","wapi1253","Wapishana","spa"
109,"guc","wayu1243","Goajiro","spa"
110,"cni","asha1243","Campa","spa"
111,"ign","igna1246","Moxo","spa"
112,"ame","yane1238","Amuesha","spa"
113,"jiv","shua1257","Jivaro","spa"
114,"bao","waim1255","Barasano","spa"
115,"tca","ticu1245","Ticuna","spa"
116,"car","gali1262","Carib","spa"
117,"oca","ocai1244","Ocaina","spa"
118,"srq","siri1273","Siriono","spa"
119,"gug","para1311","Guarani","spa"
120,"amc","amah1246","Amahuaca","spa"
121,"cao","chac1251","Chacobo","spa"
122,"apn","apin1244","Apinaye","spa"
