InventoryID	Source	LanguageCode	LanguageName	Glottocode	GlottologName	Trump	LanguageFamilyRoot	LanguageFamilyGenus	Country	Area	Population	Latitude	Longitude	Phonemes	Consonants	Tones	Vowels
1	SPA	kor	Korean	kore1280	Korean	1	asis	Korean	Korea, South	Asia	42,000,000	37.5	128.0	40	22	0	18
2	SPA	ket	Ket	kett1243	Ket	1	yeos	Yeniseian	Russian Federation	Europe	190	63.7551	87.5466	32	18	0	14
3	SPA	lbe	Lak	lakk1252	Lak	1	ncau	Lak-Dargwa	Russian Federation	Europe	157,000	42.1328	47.0809	69	60	0	9
4	SPA	kbd	Kabardian	kaba1278	Kabardian	1	ncau	Northwest Caucasian	Russian Federation	Europe	520,000	43.5082	43.3918	56	49	0	7
5	SPA	kat	Georgian	nucl1302	Nuclear Georgian	1	kart	Kartvelian	Georgia	Asia	3,900,000	39.3705	45.8066	35	29	0	6
6	SPA	bsk	Burushaski	buru1296	Burushaski	1	asis	Burushaski	Pakistan	Asia	87,000	36.2161	74.8236	53	38	3	12
7	SPA	kru	Kurukh	kuru1302	Kurukh	1	drav	Northern Dravidian	India	Asia	2,050,000	24.4644	86.4657	68	46	0	22
8	SPA	tel	Telugu	telu1262	Telugu	2	drav	South-Central Dravidian	India	Asia	69,600,000	16.4529	78.7024	68	47	0	21
9	SPA	kfe	Kota	kota1263	Kota (India)	2	drav	Southern Dravidian	India	Asia	900	11.4978	76.9387	34	23	0	11
10	SPA	unr	Mundari	mund1320	Mundari	2	ausa	Munda	India	Asia	1,550,000	25.0391	87.1792	37	32	0	5
11	SPA	khr	Kharia	khar1287	Kharia	3	ausa	Munda	India	Asia	292,000	22.3571	84.3922	41	31	0	10
12	SPA	kha	Khasi	khas1269	Khasi	1	ausa	Khasian	India	Asia	865,000	24.977	91.9998	28	19	0	9
13	SPA	sed	Sedang	seda1262	Sedang	1	ausa	Bahnaric	Viet Nam	Asia	101,000	14.7793	108.027	53	39	0	14
14	SPA	khm	Cambodian	cent1989	Central Khmer	1	ausa	Khmer	Cambodia	Asia	12,300,000	12.0515	105.015	42	21	0	21
15	SPA	vie	Vietnamese	viet1252	Vietnamese	1	ausa	Viet-Muong	Viet Nam	Asia	65,800,000	18.3887	106.757	39	21	6	12
16	SPA	cmn	Mandarin Chinese	mand1415	Mandarin Chinese	2	sitb	Chinese	China	Asia	840,000,000	40.0209	116.228	43	27	4	12
17	SPA	wuu	Wu	wuch1236	Wu Chinese	1	sitb	Chinese	China	Asia	77,200,000	29.8621	119.682	41	29	3	9
18	SPA	hak	Hakka	hakk1236	Hakka Chinese	1	sitb	Chinese	China	Asia	25,700,000	25.0	116.0	31	21	4	6
19	SPA	yue	Cantonese	yuec1235	Yue Chinese	1	sitb	Chinese	China	Asia	52,000,000	23.0	113.0	32	22	5	5
20	SPA	ium	Yao	iumi1238	Iu Mien	1	hmom	Hmong-Mien	China	Asia	383,000	20.83	101.17	49	35	6	8
21	SPA	dap	Dafla	nisi1239	Nisi (India)	1	sitb	Tani	India	Asia	261,000	27.3708	93.1284	27	16	2	9
22	SPA	mya	Burmese	nucl1310	Nuclear Burmese	1	sitb	Burmese-Lolo	Myanmar	Asia	32,000,000	20.7926	93.9665	50	34	3	13
23	SPA	lhu	Lahu	lahu1253	Lahu	1	sitb	Burmese-Lolo	China	Asia	280,000	21.2701	100.214	40	26	5	9
24	SPA	grt	Garo	garo1247	Garo	2	sitb	Bodo-Garo	India	Asia	780,000	25.2954	90.462	26	21	0	5
25	SPA	ksw	Karen	sgaw1245	S'gaw Karen	1	sitb	Karen	Myanmar	Asia	1,280,000	17.9872	97.7126	39	27	3	9
26	SPA	lbc	Lakkia	lakk1238	Lakkia	1	taik	Kadai	China	Asia	12,000	24.1169	110.106	59	31	6	22
27	SPA	tha	Thai	thai1261	Thai	1	taik	Kam-Tai	Thailand	Asia	20,200,000	14.192	100.671	45	21	6	18
28	SPA	pcc	Yay	bouy1240	Bouyei	1	taik	Kam-Tai	China	Asia	2,600,000	24.8484	106.187	38	24	6	8
29	SPA	cja	Cham	west2650	Western Cham	1	anes	Malayic	Cambodia	Asia	290,000	12.4771	104.026	35	24	2	9
30	SPA	tay	Atayal	atay1247	Atayal	1	anes	Atayalic	Taiwan	Asia	84,300	24.5209	121.388	27	19	0	8
31	SPA	plt	Malagasy	plat1254	Plateau Malagasy	1	anes	Barito	Madagascar	Africa	7,520,000	-19.5907	47.1211	36	31	0	5
32	SPA	zsm	Malay	stan1306	Standard Malay	1	anes	Malayic	Malaysia	Asia	1	3.08896	101.699	27	21	0	6
33	SPA	btx	Batak	bata1293	Batak Karo	2	anes	Sumatra	Indonesia	Asia	600,000	2.12787	98.2517	21	16	0	5
34	SPA	snv	Saban	saba1265	Sa'ban	1	anes	Northwest Malayo-Polynesian	Malaysia	Asia	1,110	3.58723	115.664	46	38	0	8
35	SPA	sun	Sundanese	sund1252	Sundanese	1	anes	Sundanese	Indonesia	Asia	34,000,000	-6.89708	107.106	26	19	0	7
36	SPA	jav	Javanese	java1254	Javanese	2	anes	Javanese	Indonesia	Asia	84,300,000	-0.572307	110.885	30	22	0	8
