InventoryID	Source	LanguageCode	LanguageName	Trump	PhonemeID	GlyphID	Phoneme	Class	CombinedClass	NumOfCombinedGlyphs
1	SPA	kor	Korean	1	1	1	t̠ʃʰ	consonant	c-d-c-c	4
1	SPA	kor	Korean	1	2	2	pˀ	consonant	c-c	2
1	SPA	kor	Korean	1	3	3	ʔ	consonant	c	1
1	SPA	kor	Korean	1	4	4	tˀ	consonant	c-c	2
1	SPA	kor	Korean	1	5	5	o	vowel	v	1
1	SPA	kor	Korean	1	6	6	iː	vowel	v-d	2
1	SPA	kor	Korean	1	7	7	aː	vowel	v-d	2
1	SPA	kor	Korean	1	8	8	kʰ	consonant	c-c	2
1	SPA	kor	Korean	1	9	9	u	vowel	v	1
1	SPA	kor	Korean	1	10	10	oː	vowel	v-d	2
1	SPA	kor	Korean	1	11	11	eː	vowel	v-d	2
1	SPA	kor	Korean	1	12	12	a	vowel	v	1
1	SPA	kor	Korean	1	13	13	kˀ	consonant	c-c	2
1	SPA	kor	Korean	1	14	14	ŋ	consonant	c	1
1	SPA	kor	Korean	1	15	15	uː	vowel	v-d	2
1	SPA	kor	Korean	1	16	16	sˀ	consonant	c-c	2
1	SPA	kor	Korean	1	17	17	ɯː	vowel	v-d	2
1	SPA	kor	Korean	1	18	18	æː	vowel	v-d	2
1	SPA	kor	Korean	1	19	19	t̠ʃˀ	consonant	c-d-c-c	4
1	SPA	kor	Korean	1	20	20	pʰ	consonant	c-c	2
1	SPA	kor	Korean	1	21	21	e	vowel	v	1
1	SPA	kor	Korean	1	22	22	ɤ	vowel	v	1
1	SPA	kor	Korean	1	23	23	æ	vowel	v	1
1	SPA	kor	Korean	1	24	25	i	vowel	v	1
1	SPA	kor	Korean	1	25	26	h	consonant	c	1
1	SPA	kor	Korean	1	26	29	k	consonant	c	1
1	SPA	kor	Korean	1	27	32	j	consonant	c	1
1	SPA	kor	Korean	1	28	33	m	consonant	c	1
1	SPA	kor	Korean	1	29	35	l	consonant	c	1
1	SPA	kor	Korean	1	30	38	tʰ	consonant	c-c	2
1	SPA	kor	Korean	1	31	39	n	consonant	c	1
1	SPA	kor	Korean	1	32	43	p	consonant	c	1
1	SPA	kor	Korean	1	33	46	s	consonant	c	1
1	SPA	kor	Korean	1	34	49	t̠ʃ	consonant	c-d-c	3
1	SPA	kor	Korean	1	35	52	t	consonant	c	1
1	SPA	kor	Korean	1	36	55	w	consonant	c	1
1	SPA	kor	Korean	1	37	56	ɯ	vowel	v	1
1	SPA	kor	Korean	1	38	58	y	vowel	v	1
1	SPA	kor	Korean	1	39	59	ø	vowel	v	1
1	SPA	kor	Korean	1	40	60	ɤː	vowel	v-d	2
2	SPA	ket	Ket	1	41	61	dʲ	consonant	c-d	2
2	SPA	ket	Ket	1	42	62	ɵ̞	vowel	v-d	2
2	SPA	ket	Ket	1	43	33	m	consonant	c	1
2	SPA	ket	Ket	1	44	64	ʊ	vowel	v	1
2	SPA	ket	Ket	1	45	65	ɵ̞ː	vowel	v-d-d	3
2	SPA	ket	Ket	1	46	3	ʔ	consonant	c	1
2	SPA	ket	Ket	1	47	66	ʝ	consonant	c	1
2	SPA	ket	Ket	1	48	67	k̟	consonant	c-d	2
