InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
649	abi	Abidji	ɪ	ɪ
	abi	Abidji	ʊ	ʊ
	abi	Abidji	ʔ	ʔ
	abi	Abidji	kp	kp
	abi	Abidji	r	r
	abi	Abidji	ɔ	ɔ
	abi	Abidji	ɛ	ɛ
	abi	Abidji	ɟ	ɟ
	abi	Abidji	a	a
	abi	Abidji	c	c
	abi	Abidji	b	b
	abi	Abidji	e	e
	abi	Abidji	d	d
	abi	Abidji	ɡ	ɡ				
	abi	Abidji	f	f
	abi	Abidji	i	i
	abi	Abidji	h	h
	abi	Abidji	k	k
	abi	Abidji	j	j
	abi	Abidji	m	m
	abi	Abidji	l	l
	abi	Abidji	o	o
	abi	Abidji	n	n
	abi	Abidji	p	p
	abi	Abidji	s	s
	abi	Abidji	ɲ	ɲ
	abi	Abidji	u	u
	abi	Abidji	t	t
	abi	Abidji	w	w
	abi	Abidji	ɡb	ɡb
	abi	Abidji	ĩ	ĩ			appparently all vowels can be nasalized
	abi	Abidji	ɪ̃	ɪ̃			appparently all vowels can be nasalized
	abi	Abidji	ẽ	ẽ			appparently all vowels can be nasalized
	abi	Abidji	ɛ̃	ɛ̃			appparently all vowels can be nasalized
	abi	Abidji	ã	ã			appparently all vowels can be nasalized
	abi	Abidji	ɔ̃	ɔ̃			appparently all vowels can be nasalized
	abi	Abidji	ʊ̃	ʊ̃̃			appparently all vowels can be nasalized
	abi	Abidji	õ	õ			appparently all vowels can be nasalized
	abi	Abidji	ũ	ũ			appparently all vowels can be nasalized

650	adj	Adioukrou	˦	˦
	adj	Adioukrou	˨	˨
	adj	Adioukrou	˦˨	˦˨
	adj	Adioukrou	ɡb	ɡb
	adj	Adioukrou	kp	kp
	adj	Adioukrou	dz	ʣ
	adj	Adioukrou	t̠ʃ	ʧ
	adj	Adioukrou	r	r
	adj	Adioukrou	ŋ	ŋ
	adj	Adioukrou	ɔ	ɔ
	adj	Adioukrou	ɛ	ɛ
	adj	Adioukrou	a	a
	adj	Adioukrou	b	b
	adj	Adioukrou	e	e
	adj	Adioukrou	d	d
	adj	Adioukrou	ɡ	ɡ
	adj	Adioukrou	f	f
	adj	Adioukrou	i	i
	adj	Adioukrou	h	h
	adj	Adioukrou	k	k
	adj	Adioukrou	j	j
	adj	Adioukrou	m	m
	adj	Adioukrou	l	l
	adj	Adioukrou	o	o
	adj	Adioukrou	n	n
	adj	Adioukrou	p	p
	adj	Adioukrou	s	s
	adj	Adioukrou	ɲ	ɲ
	adj	Adioukrou	u	u
	adj	Adioukrou	t	t
	adj	Adioukrou	w	w

651	ajg	Adja (Bénin)	˦	˦				confirmed in Morley 2010
	ajg	Adja (Bénin)	˨	˨				confirmed in Morley 2010
	ajg	Adja (Bénin)	ʃ	ʃ
	ajg	Adja (Bénin)	˦˨	˦˨				in Chanard; not in AA, not in Morley 2010
	ajg	Adja (Bénin)	˧	˧				in Chanard; not in AA, not in Morley 2010
	ajg	Adja (Bénin)	˨˦	˨˦				confirmed in Morley 2010
	ajg	Adja (Bénin)	ʒ	ʒ
	ajg	Adja (Bénin)	ɡb	ɡb
	ajg	Adja (Bénin)	kp	kp
	ajg	Adja (Bénin)	d̠ʒ	ʤ
	ajg	Adja (Bénin)	t̠ʃ	ʧ
	ajg	Adja (Bénin)	r	r
