Segment	Phoneme	Notes
 ʑ	ʑ	test
(ã)	<ã>	NA
(bʲ)	<bʲ>	NA
(ɕ)	<ɕ>	NA
(dʲ)	<dʲ>	NA
(dz̪)	<dz̪>	NA
(e̞ː)	<e̞ː>	NA
(ə)	<ə>	NA
(ɛ̃)	<ɛ̃>	NA
(ɛː)	<ɛː>	NA
(gʲ)	<ɡʲ>	NA
(iː)	<iː>	NA
(i̯e̞)	<i̯e̞>	NA
(lʲ)	<lʲ>	NA
(nʲ)	<nʲ>	NA
(œ)	<œ>	NA
(œː)	<œː>	NA
(ɔ̃)	<ɔ̃>	NA
(ɔː)	<ɔː>	NA
(sʲ)	<sʲ>	NA
(ʃ)	<ʃ>	NA
(uː)	<uː>	NA
(ɯ̯ɤ̞)	<ɯ̯ɤ̞>	NA
(ɯi̯)	<ɯi̯>	NA
(yː)	<yː>	NA
(z)	<z>	NA
(ʑ)	<ʑ>	NA
(ʒ)	<ʒ>	NA
a	a	NA
ä	ä	conventionalized
ä	ä	NA
ä̃	ã̈	NA
ä̠	ä̠	NA
ä̤	ä̤	NA
ã	ã	NA
ã̤	ã̤	NA
a̟	a̟	NA
a̤	a̤	NA
a̰	a̰	NA
a˞	a˞	NA
a˞ː	a˞ː	new segment type added
a˞ˤ	a˞ˤ	new segment type added
aː	aː	NA
äː	äː	new segment type added
äː	äː	new segment type added
äː̃	ã̈ː	NA
ä̃ː	ã̈ː	NA
ä̤̃ː	ã̤̈ː	NA
ä̠ː	ä̠ː	NA
ãː	ãː	NA
a̤ː	a̤ː	NA
aːi	aːi	NA
aːi̯	aːi̯	NA
aːɪ	aːɪ	NA
aːu	aːu	NA
aːu̯	aːu̯	NA
ae	ae	NA
ae̯	ae̯	NA
æ	æ	NA
æ̃	æ̃	NA
æ̰	æ̰	NA
æː	æː	NA
æːi	æːi	NA
æːʊ	æːʊ	NA
æˑ	æˑ	NA
æɛ	æɛ	NA
æi	æi	NA
æi̯	æi̯	NA
æɪ̯	æɪ̯	NA
æ̃ɪ̯̃	æ̃ɪ̯̃	NA
æu̯	æu̯	NA
aə	aə	NA
aɛ	aɛ	NA
ãɛ̃	ãɛ̃	NA
ai	ai	NA
ai̯	ai̯	NA
äi̯	äi̯	NA
ãĩ	ãĩ	NA
ai̯ː	ai̯ː	NA
aɪ	aɪ	NA
aɪ̃	aɪ̃	NA
a̰ɪ̰	a̰ɪ̰	NA
ãɪ̯ː	ãɪ̯ː	NA
aj	ai̯	conventionalized
ãj	ãi̯	conventionalized
ao	ao	NA
ãõ	ãõ	NA
aɵ̯	aɵ̯	NA
au	au	NA
au̯	au̯	NA
äu̯	äu̯	NA
ãũ	ãũ	NA
auː	auː	NA
aɯ̃	aɯ̃	NA
a̰ɯ̰	a̰ɯ̰	NA
aɰ	aɯ	guess
aʊ	aʊ	NA
aʊ̃	aʊ̃	NA
aw	au̯	conventionalized
ãw	ãu̯	conventionalized
ãw̃	ãũ̯	conventionalized
aˤ	aˤ	NA
aˤː	aːˤ	NA
ɐ	ɐ	NA
ɐ̆	ɐ̆	NA
ɐ̃	ɐ̃	NA
ɐ̹̆	ɐ̹̆	NA
ɐː	ɐː	NA
ɐi	ɐi	NA
ɐi̯	ɐi̯	NA
ɐɪ	ɐɪ	NA
ɐu	ɐu	NA
ɑ	ɑ	NA
ɑ̆	ɑ̆	NA
ɑ̃	ɑ̃	NA
ɑ̝	ɑ̝	NA
ɑ̙	ɑ̙	NA
ɑ̝̟	ɑ̝̟	NA
ɑ̝̹	ɑ̝̹	NA
ɑ̤	ɑ̤	NA
ɑ˞	ɑ˞	NA
ɑː	ɑː	NA
ɑ̃ː	ɑ̃ː	NA
ɑ̟ː	ɑ̟ː	NA
ɑ̝ː	ɑ̝ː	NA
ɑ̰ː	ɑ̰ː	NA
ɑːi̯	ɑːi̯	NA
ɑˑ	ɑˑ	NA
ɑ̟ˑ	ɑ̟ˑ	NA
ɑi	ɑi	NA
ɑi̯	ɑi̯	NA
ɑj	ɑy	guess
ɑu	ɑu	NA
ɑʊ	ɑʊ	NA
ɑʊ̯	ɑʊ̯	NA
ɑw	ɑɯ	guess
ɒ	ɒ	NA
ɒ̃	ɒ̃	NA
ɒː	ɒː	NA
ɒ̃ː	ɒ̃ː	NA
ɒːi̯	ɒːi̯	NA
b	b	NA
b̥	b̥	NA
b˞	b˞	NA
bː	bː	NA
b̥ː	b̥ː	NA
bˠ	bˠ	NA
bʰ	bʰ	NA
bʱ	bʱ	NA
b̤ʱ	b̤ʱ	NA
bʲ	bʲ	NA
bʲː	bːʲ	NA
bˤ	bˤ	NA
ɓ	ɓ	NA
c	c	NA
ç	ç	conventionalized
ç̟	ç̟	NA
c̟	c̟	NA
çː	çː	NA
cːʰ	cːʰ	NA
cç	cç	NA
cçː	cçː	NA
cçʰ	cçʰ	NA
cʰ	cʰ	NA
çʰ	çʰ	NA
cʼ	cʼ	NA
ɕ	ɕ	NA
ɕː	ɕː	NA
ɕʰ	ɕʰ	NA
ɕʼ	ɕʼ	NA
d	d	NA
d̻	d̻	NA
d̺	d̺	NA
d̪	d̪	NA
d̪̺	d̪̺	NA
d̪̻	d̪̻	NA
d̪̥	d̪̥	NA
d̺̥	d̺̥	NA
d̥	d̥	NA
ð	ð	NA
ð̞	ð̞	NA
ð̺̞	ð̺̞	NA
ð̺̪	ð̪̺	NA
dː	dː	NA
d̥ː	d̥ː	NA
ðː	ðː	NA
d̪ˠ	d̪ˠ	NA
ð͇ˠ	ð͇ˠ	NA
dʰ	dʰ	NA
d̪ʰ	d̪ʰ	NA
dʱ	dʱ	NA
d̺ʱ	d̺ʱ	NA
d̪ʱ	d̪ʱ	NA
d̻̤ʱ	d̤̻ʱ	NA
d̪̤ʱ	d̤̪ʱ	NA
dʲ	dʲ	NA
d̪ʲ	d̪ʲ	NA
d̠ʲ	d̠ʲ	NA
d̥ʲ	d̥ʲ	NA
ðʲ	ðʲ	NA
dʷ	dʷ	NA
dz	dz	NA
dẑ	d̠ʓ	Ladefoged & Maddieson 1996:138: laminal closed postalevolar sibilants
dz̻	dz̻	NA
dz̺	dz̺	NA
d̪z	d̪z	NA
d͇z͇	d͇z͇	NA
d̺z̺	d̺z̺	NA
d̪z̪	d̪z̪	NA
d̺̥z̺̥	d̺̥z̺̥	NA
