InventoryID	LanguageCode	LanguageName	Segment
2239	hnj	Hmong Njua (Green Hmong)	p
2239	hnj	Hmong Njua (Green Hmong)	t
2239	hnj	Hmong Njua (Green Hmong)	c
2239	hnj	Hmong Njua (Green Hmong)	k
2239	hnj	Hmong Njua (Green Hmong)	q
2239	hnj	Hmong Njua (Green Hmong)	ʔ
2239	hnj	Hmong Njua (Green Hmong)	pʰ
2239	hnj	Hmong Njua (Green Hmong)	tʰ
2239	hnj	Hmong Njua (Green Hmong)	cʰ
2239	hnj	Hmong Njua (Green Hmong)	kʰ
2239	hnj	Hmong Njua (Green Hmong)	qʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿp
2239	hnj	Hmong Njua (Green Hmong)	ⁿt
2239	hnj	Hmong Njua (Green Hmong)	ⁿc
2239	hnj	Hmong Njua (Green Hmong)	ⁿk
2239	hnj	Hmong Njua (Green Hmong)	ⁿq
2239	hnj	Hmong Njua (Green Hmong)	ⁿpʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿtʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿcʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿkʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿqʰ
2239	hnj	Hmong Njua (Green Hmong)	ts
2239	hnj	Hmong Njua (Green Hmong)	tʃ
2239	hnj	Hmong Njua (Green Hmong)	ʈʂ
2239	hnj	Hmong Njua (Green Hmong)	tsʰ
2239	hnj	Hmong Njua (Green Hmong)	tʃʰ
2239	hnj	Hmong Njua (Green Hmong)	ʈʂʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿts
2239	hnj	Hmong Njua (Green Hmong)	ⁿtʃ
2239	hnj	Hmong Njua (Green Hmong)	ⁿʈʂ
2239	hnj	Hmong Njua (Green Hmong)	ⁿtsʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿtʃʰ
2239	hnj	Hmong Njua (Green Hmong)	ⁿʈʂʰ
2239	hnj	Hmong Njua (Green Hmong)	m
2239	hnj	Hmong Njua (Green Hmong)	n
2239	hnj	Hmong Njua (Green Hmong)	ɲ
2239	hnj	Hmong Njua (Green Hmong)	ŋ
2239	hnj	Hmong Njua (Green Hmong)	v
2239	hnj	Hmong Njua (Green Hmong)	ʒ
2239	hnj	Hmong Njua (Green Hmong)	j
2239	hnj	Hmong Njua (Green Hmong)	f
2239	hnj	Hmong Njua (Green Hmong)	s
2239	hnj	Hmong Njua (Green Hmong)	ʃ
2239	hnj	Hmong Njua (Green Hmong)	ç
2239	hnj	Hmong Njua (Green Hmong)	h
2239	hnj	Hmong Njua (Green Hmong)	sʰ
2239	hnj	Hmong Njua (Green Hmong)	l
2239	hnj	Hmong Njua (Green Hmong)	ɬ
2239	hnj	Hmong Njua (Green Hmong)	i
2239	hnj	Hmong Njua (Green Hmong)	ɨ
2239	hnj	Hmong Njua (Green Hmong)	u
2239	hnj	Hmong Njua (Green Hmong)	e
2239	hnj	Hmong Njua (Green Hmong)	ɔ
2239	hnj	Hmong Njua (Green Hmong)	a
2239	hnj	Hmong Njua (Green Hmong)	ĩ
2239	hnj	Hmong Njua (Green Hmong)	ũ
2239	hnj	Hmong Njua (Green Hmong)	ã
2239	hnj	Hmong Njua (Green Hmong)	aj
2239	hnj	Hmong Njua (Green Hmong)	aw
2239	hnj	Hmong Njua (Green Hmong)	aɰ
2239	hnj	Hmong Njua (Green Hmong)	ua
2240	udm	Udmurt (Standard)	t̻
2240	udm	Udmurt (Standard)	d̻
2240	udm	Udmurt (Standard)	s̻
2240	udm	Udmurt (Standard)	z̻
2240	udm	Udmurt (Standard)	t̻s̻
2240	udm	Udmurt (Standard)	p
2240	udm	Udmurt (Standard)	b
2240	udm	Udmurt (Standard)	v
2240	udm	Udmurt (Standard)	f
2240	udm	Udmurt (Standard)	ʂ
2240	udm	Udmurt (Standard)	ʐ
2240	udm	Udmurt (Standard)	ʈʂ
2240	udm	Udmurt (Standard)	ɖʐ
2240	udm	Udmurt (Standard)	ɕ
2240	udm	Udmurt (Standard)	ʑ
2240	udm	Udmurt (Standard)	c
2240	udm	Udmurt (Standard)	ɟ
2240	udm	Udmurt (Standard)	tɕ
2240	udm	Udmurt (Standard)	dʑ
2240	udm	Udmurt (Standard)	k
2240	udm	Udmurt (Standard)	g
2240	udm	Udmurt (Standard)	x
2240	udm	Udmurt (Standard)	n̻
2240	udm	Udmurt (Standard)	ɫ
2240	udm	Udmurt (Standard)	r
2240	udm	Udmurt (Standard)	m
2240	udm	Udmurt (Standard)	ɲ̟
2240	udm	Udmurt (Standard)	ʎ̟
2240	udm	Udmurt (Standard)	j
2240	udm	Udmurt (Standard)	ɑ
2240	udm	Udmurt (Standard)	ɛ̠
2240	udm	Udmurt (Standard)	o̞
2240	udm	Udmurt (Standard)	ɯ̟
2240	udm	Udmurt (Standard)	u
2240	udm	Udmurt (Standard)	i
2240	udm	Udmurt (Standard)	ɤ̟̹
2241	mhr	Meadow Mari (Morki-Sernur)	p
2241	mhr	Meadow Mari (Morki-Sernur)	t̺̪
2241	mhr	Meadow Mari (Morki-Sernur)	k
2241	mhr	Meadow Mari (Morki-Sernur)	tɕ
2241	mhr	Meadow Mari (Morki-Sernur)	ð̺̪
2241	mhr	Meadow Mari (Morki-Sernur)	s
2241	mhr	Meadow Mari (Morki-Sernur)	ʂ
2241	mhr	Meadow Mari (Morki-Sernur)	β
2241	mhr	Meadow Mari (Morki-Sernur)	ɣ
2241	mhr	Meadow Mari (Morki-Sernur)	z
2241	mhr	Meadow Mari (Morki-Sernur)	ʐ
2241	mhr	Meadow Mari (Morki-Sernur)	m
2241	mhr	Meadow Mari (Morki-Sernur)	n̺
2241	mhr	Meadow Mari (Morki-Sernur)	ɲ
2241	mhr	Meadow Mari (Morki-Sernur)	ŋ
2241	mhr	Meadow Mari (Morki-Sernur)	l̺
2241	mhr	Meadow Mari (Morki-Sernur)	ʎ
2241	mhr	Meadow Mari (Morki-Sernur)	r
2241	mhr	Meadow Mari (Morki-Sernur)	j
2241	mhr	Meadow Mari (Morki-Sernur)	i
2241	mhr	Meadow Mari (Morki-Sernur)	e
2241	mhr	Meadow Mari (Morki-Sernur)	a
2241	mhr	Meadow Mari (Morki-Sernur)	y̞
2241	mhr	Meadow Mari (Morki-Sernur)	œ
2241	mhr	Meadow Mari (Morki-Sernur)	u
2241	mhr	Meadow Mari (Morki-Sernur)	o
2241	mhr	Meadow Mari (Morki-Sernur)	ɪ̈
2242	yuy	Eastern Yugur	pʰ
2242	yuy	Eastern Yugur	tʰ
2242	yuy	Eastern Yugur	kʰ
2242	yuy	Eastern Yugur	qʰ
2242	yuy	Eastern Yugur	p
2242	yuy	Eastern Yugur	t
2242	yuy	Eastern Yugur	k
2242	yuy	Eastern Yugur	q
2242	yuy	Eastern Yugur	tsʰ
2242	yuy	Eastern Yugur	tʃʰ
2242	yuy	Eastern Yugur	ts
2242	yuy	Eastern Yugur	tʃ
2242	yuy	Eastern Yugur	s
2242	yuy	Eastern Yugur	ʃ
2242	yuy	Eastern Yugur	χ
2242	yuy	Eastern Yugur	h
2242	yuy	Eastern Yugur	β
2242	yuy	Eastern Yugur	ɣ
2242	yuy	Eastern Yugur	ʁ
2242	yuy	Eastern Yugur	m
2242	yuy	Eastern Yugur	n
2242	yuy	Eastern Yugur	ŋ
2242	yuy	Eastern Yugur	l
2242	yuy	Eastern Yugur	r
2242	yuy	Eastern Yugur	j
2242	yuy	Eastern Yugur	l̥
2242	yuy	Eastern Yugur	n̥
2242	yuy	Eastern Yugur	j̊
2242	yuy	Eastern Yugur	a
2242	yuy	Eastern Yugur	e
2242	yuy	Eastern Yugur	ə
2242	yuy	Eastern Yugur	ɔ
2242	yuy	Eastern Yugur	y
