IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	coronal	distributed	anterior	high	low	front	back
t̺͉	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
t̺͈	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ȶ͈	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
n̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ȵ	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
l̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
r̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ɹ̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
j	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
z̺	ngan1298		Ngan'gityemerri	+	-	0	0	0	0	0
ɕ	ngan1298		Ngan'gityemerri	+	+	0	0	0	0	0
t̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ȶ	mull1237		Malak-Malak	+	+	0	0	0	0	0
n̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ȵ	mull1237		Malak-Malak	+	+	0	0	0	0	0
l̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ȴ	mull1237		Malak-Malak	+	+	0	0	0	0	0
r̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
ɹ̺	mull1237		Malak-Malak	+	-	0	0	0	0	0
j	mull1237		Malak-Malak	+	+	0	0	0	0	0
t̺	gara1269		Garrwa	+	-	0	0	0	0	0
ȶ	gara1269		Garrwa	+	+	0	0	0	0	0
n̺	gara1269		Garrwa	+	-	0	0	0	0	0
ȵ	gara1269		Garrwa	+	+	0	0	0	0	0
l̺	gara1269		Garrwa	+	-	0	0	0	0	0
ȴ	gara1269		Garrwa	+	+	0	0	0	0	0
r̺	gara1269		Garrwa	+	-	0	0	0	0	0
ɹ̺	gara1269		Garrwa	+	-	0	0	0	0	0
j	gara1269		Garrwa	+	+	0	0	0	0	0
t̺	wany1247		Waanyi	+	-	0	0	0	0	0
ȶ	wany1247		Waanyi	+	+	0	0	0	0	0
n̺	wany1247		Waanyi	+	-	0	0	0	0	0
ȵ	wany1247		Waanyi	+	+	0	0	0	0	0
l̺	wany1247		Waanyi	+	-	0	0	0	0	0
ȴ	wany1247		Waanyi	+	+	0	0	0	0	0
r̺	wany1247		Waanyi	+	-	0	0	0	0	0
