IPA_for_PHOIBLE	Glottolog_code	Glottolog_nearest	Variety_name	Source	Source_ref	Comments
t̺͉	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
t̺͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ȶ͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
k͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
p͉	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
p͈	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
n̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ȵ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ŋ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
m	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
l̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
r̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ɹ̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
j	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
w	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
i	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
u	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
a	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
e	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
z̺	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ɕ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
x	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
ɸ	ngan1298		Ngan'gityemerri	Reid 1990	reid_ngangityemerri:_1990	Please see also the general comparative notes on Australian inventories.
t̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ȶ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
k	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
p	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
n̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ȵ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ŋ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
m	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
l̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ȴ	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
r̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ɹ̺	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
j	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
w	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
i	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
u	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
a	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
e	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
ə	mull1237		Malak-Malak	Birk 1975	birk_phonology_1975	Please see also the general comparative notes on Australian inventories.
t̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ȶ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
k	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
p	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
n̺	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ȵ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
ŋ	gara1269		Garrwa	Mushin 2012	mushin_grammar_2012	Please see also the general comparative notes on Australian inventories.
