InventoryID	Name	Display form	Alternate names	Computer name	ISO	Country	Family	z	y	x	z2	y2	x2	z3	y3	x3	p'	pʰ	p	p:	pʲ	pʲʰ	pʷ	ɓ̥	mp	ps	ʰb	b	bβ	b:	bʲ	bʷ	ɓ	b̰	mbʲ	mb	bz	t̪'	t̪ʰ	t̪	d̪	d̪ʰ	t̪ʙ	t'	tʰ	tx	ʰt	t	t:	nt	ɗ̥	tʲ'	tʲ	tʲʰ	tʷ	ts'	tsʰ	ts	tsʲʰ	tsʲ	nts	ʰd	d	dʰ	d:	nd	dʲ	ndʲ	ɗ	d̰	dz	ndz	ndzʲ	ʈ'	ʈʰ	ʈ	ʈʂ'	ʈʂʰ	ʈʂ	ɳʈʂ	ɖ	ɖʐ	ɳɖʐ	tʃ'	tʃʰ	tʃ	ntʃ	dʒ	ndʒ	cç	c'	cʰ	ʰc	c	c̰	ɟʝ	ʰɟ	ɟ	ɟ̰	kʲ'	kʲ	kʲʰ	kl	k̰	k'	kʰ	kx	ʰk	k	k:	ŋk	kʷ'	ʰkʷ	kʷ	kʷ:	kp	ɡ	ɡ:	ŋɡ	ŋɡʷ	ɠ	ɡ̰	ɡʷ	q'	qʰ	q	qʷ	ɢ	ʔʲ	ʔ	ʰm	m	m'	m̰	mʰ	mʲ	mʷ	m:	m̥	ɱ	n̪	ʰn	n	nʰ	nʲ	n:	n̰	n̥	ɲ	ɲ̰	ɲʰ	ɲ:	ɲ̥	ŋ	ŋʷ	ŋ̥	N	ɸ	ɸʲ	β	βʲ	fʷ	f	v	θ	ð	s̪	s	sʲ	s'	sʰ	z	ɬ	ʂ	ʐ	ʃ	ʒ	ʒ̺	ç	ʝ	x	xʲ	xl	xʷ	ɣ	ɣʷ	χ	χʷ	ʁ	h	h̃	hʲ	hʷ	ʕ	ʰw	β̞	w	w̃	w'	w̰	wʰ	wʲ	w:	ʋ	ð̞	ʰj	j	j̃	j̥	j'	j̰	j:	ɰ	ɾ	ɾ̃	ʰɾ	ɹ	ɾʲ	ʔɾ	ɺ	ɺ̥	r	r̥	l	ɭ	l̥	lʲ	l'	l:	l̪	ɻ	ɽ	ʎ	ʀ	ʙ	i	ĩ	ḭ̃	ḭ	i:	ĩ:	iʰ	ʏ	ɪ	ɪ:	ɪ̃	e	ḛ̃	ḛ	ẽ	e:	ẽ:	eʰ	ɛ	ɛ̃	ɛ:	ɛ̃:	æ	æ̃	æ:	æ̃:	a	ã̰	a̰	ã	a:	ã:	aʲ	ãʲ	aʲ:	aʰ	ɒ	ɒ:	ɒ̃	ɑ	ɑ̰	ɑ̃	ɑ:	ɔ	ɔ̃	ɔ:	ɔ̃:	o	õ̰	o̰	õ	o:	õ:	oʰ	oʲ	õʲ	ʊ	ʊ:	ʊ̃	u	ṵ̃	ṵ	ũ	u:	ũ:	uʰ	ɨ	ɨ̰	ɨ̃	ɨ:	ɨ̃:	ɨ̘	ɨi	ə	ə̰̃	ə̰	ə̃	ə:	ɘ	ə̃:	ɜ	ɐ̃	ʉ	ʉ̃	ʉ:	ɵ	ɵ:	œ	ø	ø:	ø̃	y	ỹ	ʌ	ʌ̃	ʌ:	ʌ̃:	ɤ	ɤ̃	ɤ:	ɯi	ɯ	ɯ̰	ɯ̃	ɯ:	ɯ̃:	tone	nasal harmony	Highland	Western Amazon 250m contour	Western Amazon 500m contour	Western Amazon 750m contour	Greater Amazon	Lesser Amazon	Vaupés	Vaupés Içana	Eastern Guaporé	Western Guaporé	Mamoré Guaporé	Upper Xingú	Upper Xingú and neighbors	Gran Chaco	Ecuadorean Colombian Andean sub-area	Orinoco, Northern Amazon	Southern Andes	Central, Northern Andes	Alt2 Southern Andes	Alt2 Central, Northern Andes	Alt2 Andes	People of the Center	Bibliographic information	Bibliographic information  2	Bibliographic information  3	Bibliographic information  4	Notes	Notes 2	Notes 3	Notes 4	Notes 5	Notes 6	Group notes	Group notes 2	Group notes 3
o	o	o	o	o	o	o	o	g	g	g	g	g	g	g	g	g	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	b	b	b	b	n	n	n	n	n	n	n	n	n
1801	Kawesqar	Kawesqar		Kawesqar	alc_nth	Chile	Alacalufan	102	-50.9815	-72.499							1	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0		0	0	0		1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Aguilera, Oscar E. 2001. Gramática de la lengua Kawésqar. Temuco, Chile: Corporación Nacional de Desarollo Indígena. 23-25.	Viegas, Pedro Barros. 2005. Voces en el viento: Raíces lingüísticas de la Patagonia. Buenos Aires: Mondragon Ediciones. 43.											
1802	Mapudungun	Mapudungun		Mapudungun	arn	Argentina, Chile	Araucanian	332	-38.0001	-72.0001							0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0		0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Viegas Barros, Pedro J. 2005. Voces en el Viento. Buenos Aires: Mondragon. 74.										consonante oral fricativa prepalatal retrofleja= ʐ		
1803	Achagua	Achagua		Achagua	aca	Colombia	Arawak	255	4.002	-72.8144							0	0	1	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Melendez, Miguel Ángel Lozano. 2000. Esbozo grammatical de la lengua achagua. In María Stella González de Pérez and María Luisa Rodríguez de Montes (eds.), Lenguas indígenas de Colombia: Una visión descriptiva. Bogotá: Instituto Caro y Cuervo.	Wilson, Peter J. and Stephen H. Levinsohn. 1992. Una descripción preliminar de la gramática del achagua (Arawak). Bogotá: Instituto Lingüístico de Verano.											
1804	Apurinã	Apurinã		Apurina	apu	Brazil	Arawak	170	-9	-67							0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0		0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0		0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Facundes, Sidney. 2000. The Language of the Apurinã People of Brazil (Maipure/Arawak). PhD dissertation, SUNY Buffalo.				[public] Facundes observes that “/ɲ/ and /h/ do not have phonemic status in some of the speech varieties, while in others they do.”								
1805	Lokono	Lokono	Arawak	Lokono	arw	Guyana, Suriname, French Guiana, Venezuela	Arawak	13	6.0831	-57.5993	62	5.1658	-57.4734	13	5.5262	-55.151	0	0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Pet, Willem J. A. 1988. Lokono dian: the Arawak language of Surinam: a sketch of its grammatical structure and lexicon. PhD dissertation, Cornell University.				[public]Pet observes that /p/ occurs only in loans, and that phonetic realization of /o/ varies between [o] and [u].								
1806	Asháninka	Asháninka		Ashaninka	cni	Peru	Arawak	230	-11.3306	-74.1182							0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Dirks, Sylvester. 1953. Campa (Arawak) phonemes. International Journal of American Linguistics 19 (4). 302-304.	Kindberg, Lee. 1980. Diccionario Asháninca. Yarinacocha: Instituto Lingüístico de Verano.			[public]Dirks (1953) includes palatalized counterparts of the oral and nasal alveolar stop.								
1807	Ashéninka (Apurucayali dialect)	Ashéninka Ap		AsheninkaA	cpc	Peru	Arawak	1306	-10.018	-74.7932							0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Payne, David, Judith Payne, and Jorge Sanchez Santos. 1982. Morfología, fonología, y fonética del Ashéninca del Apurucayali. Lima: Ministerio de Educación and Instituto Lingüístico de Verano.												
1808	Ashéninka (Perené dialect)	Ashéninka Pe		AsheninkaPe	prq	Peru	Arawak	1368	-10.8734	-75.245							0	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mihas, Elena. 2010. Essentials of Ashéninka Perené Grammar. PhD dissertation, University of Wisconsin-Milwaukee.												
1809	Ashéninka (Pichis dialect)	Ashéninka Pi		AsheninkaPi	cpu	Peru	Arawak	263	-9.9833	-74.9833							0	0	1	0	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0		0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0	1	0	0	0	0	0		1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Payne, David. 1982. Notas fonológicas y morfofonémicas sobre el Ashéninca del Pichis. In David Payne and Marlene Ballena Davila (eds.), Estudios lingüísticos de textos Ashéninca (Campa – Arawak Preandino). 101-111.												
