spaLangNum	LanguageName	spaPhoneNum	spaDescription	spaAllophoneDescription	Notes	AllophoneNotes
380	Korean	01	p			
				[b]	60	
				[p-unreleased]	61	
		02	p-aspirated			
		03	p-glottalized			
		04	t			
				[d]	60	
				[t-unreleased]	61	
		05	t-aspirated			
		06	t-glottalized			
		07	k			
				[g]	60	
				[k-unreleased]	61	
		08	k-aspirated			
		09	k-glottalized			
		10	t/s-hacek		01 30	
				[t/s]	62	
				[d/z-hacek]	60	
		11	t/s-hacek-aspirated		31	
		12	t/s-hacek-glottalized		31	
		13	s			
				[s-hacek]	63	
				[z]	60 64	
		14	s-glottalized			
		15	m		02	
				[b-prenasalized]	65	(free)
		16	n		02	
				[d-prenasalized]	66	(free)
				[n-unreleased]	61	
				[n-palatalized]	67	
		17	eng		02	
		18	l		02 33	
				[r-flap]	68	
				[l-palatalized]	69	
		19	h			
				[c-fricative]	70	
				[h-voice]	71	(free)
		20	glottal stop		34	(transitional)
		51	i			
		52	i-long			
		53	u-trema		35	
		54	e			
		55	e-long			
		56	o-trema		36	
		57	ash			
				[epsilon]		(free)
		58	ash-long			
		59	a			
		60	a-long			
		61	u		03	
		62	u-long			
		63	i-trema		04 37	
				[i-trema-voiceless]	72	
		64	i-trema-long			
		65	o		03	
		66	o-long			
		67	e-trema		04	
		68	e-trema-long			
		69	yod		05	
		70	w		03	
385	Ket	01	b			
				[p]	60	
				[p-palatalized]	61	(free)
				[beta]	62	
		02	t		01	
				*[r-trill]		
		03	t-palatalized		30	
				*[s-palatalized]		
				[t/s-hacek-palatalized]	63	(free)
		04	d			
				[r-trill]	02 64	(allo, neutral)
				*/t/		
		06	d-palatalized		31	
		07	k-prevelar			
				[k]	65	
				[g-prevelar]	66	
				[g]	65 66	
		08	q			
				[x-uvular]	04 67	(free)
				[q/x-uvular]	67	(free)
				[q-voice]	68	(free)
				[gamma-uvular]	69	
				[r-trill-uvular]	69 70	(free)
				[gamma]	69 71	
		09	s			
		10	s-palatalized		63	(tag(+),free)
				*/t-palatalized/		
				[s-hacek-palatalized]	72	(free)
		11	j-fricative		32	(tag(-),transitional)
		12	m		33	
				[m-voiceless]	60	
		13	n		34	
				[n-voiceless]	60	
		14	n-palatalized			
				[n-voiceless-palatalized]	60	
		15	eng		35	
				[eng-voiceless]	60	
		16	l-velarized		05 36	
				[l-voiceless-velarized]	60	
		17	l-palatalized		05 37	
				[l-voiceless-palatalized]	60	
		18	glottal stop		38	
		19	h		39	
		51	i			
				*[e]		
				[iota]	73	
		52	i-long			
				[i-half-voice-long]	74	
		53	ash			
				[epsilon]		(free)
				[e]	73 77	
				*/i/		
		55	ash-long			
				[epsilon-long]		(free)
				[ash-half-voice-long]	74	
				[epsilon-half-voice-long]	74	(free)
		56	a			
				[a-front]		(free)
		57	a-long			
				[a-front-long]		(free)
				[a-half-voice-long]	74	
				[a-front-half-voice-long]	74	(free)
		58	i-bar		08 40	
		59	i-bar-long			
				[i-bar-half-voice-long]	74	
		60	o-mid-dot			
		61	o-mid-dot-long			
				[o-mid-dot-half-voice-long]	74	
		62	upsilon			
		63	u-long			
				[u-half-voice-long]	74	
		64	o-open			
				[o]	75	
				[o-trema]	76	(free)
		65	o-open-long			
				[o-open-half-voice-long]	74	
390	Lak	01	p-aspirated			
		02	p-tense		01	
		03	p-ejective			
		04	b			
		05	t-aspirated			
		06	t-tense		01	
		07	t-ejective			
		08	d			
		09	k-aspirated			
		10	k-tense		01	
		11	k-ejective			
		12	k-aspirated-labialized		30	
		13	k-tense-labialized		01 30	
		14	k-ejective-labialized		30	
		15	g			
		16	q-aspirated			
		17	q-tense		01	
		18	q-ejective			
		19	q-aspirated-labialized		30	
		20	q-tense-labialized		01 30	
		21	q-ejective-labialized		30	
		22	q-voice		31	
		23	q-voice-labialized		30 31	
		24	t/s-aspirated			
		25	t/s-tense		01	
		26	t/s-ejective			
		27	t/s-aspirated-labialized		30	
		28	t/s-tense-labialized		01 30	
		29	t/s-ejective-labialized		30	
		30	t/s-hacek-aspirated			
		31	t/s-hacek-tense		01	
		32	t/s-hacek-ejective			
		33	t/s-hacek-aspirated-labialized		30	
		34	t/s-hacek-tense-labialized		01 30	
		35	t/s-hacek-ejective-labialized		30	
		36	s			
		37	s-tense		01	
		38	z			
		39	s-hacek			
		40	s-hacek-tense		01	
		41	s-hacek-labialized		30	
		42	s-hacek-tense-labialized		01 30	
		43	z-hacek			
		44	x			
		45	x-tense		01	
		46	x-labialized		30	
		47	x-tense-labialized		01 30	
		48	x-uvular			
		49	x-uvular-tense		01	
		50	x-uvular-labialized		30	
		51	x-uvular-tense-labialized		01 30	
		52	pharyngeal-voiceless			
		53	m			
		54	n			
		55	l			
		56	r-trill		02	
		57	glottal stop			
		58	h			
		11	i			
		52	i-long		32	
		53	e-mid-pharyngealized		33	
		54	o-mid-trema-pharyngealized		33	
		55	ash-pharyngealized		33	
		56	a			
		57	a-long		32	
		58	u			
		59	u-long		32	
		60	yod			
		61	w			
395	Kabardian	01	p-aspirated		01	
				[p-aspirated-weak]	60	
		02	b		04	
		03	p-ejective		05 06	
		04	t-laminal-aspirated		01 07	
				[t-laminal-aspirated-weak]	60	
		05	d-laminal		04 07	
		06	t-laminal-ejective		05 06 07	
		07	k-prevelar-aspirated-palatalized		01	
				[k-prevelar-aspirated-weak-palatalized]	60	
				[t/s-hacek-palatalized]	61	(free)
				[k/x-prevelar-palatalized]	62	(free)
		08	g-prevelar-palatalized		04	
