InventoryID	LanguageCode	LanguageName	upsidLangNum
198	aal	KOTOKO	4373
199	acv	ACHUMAWI	6744
200	adz	ADZERA	2419
201	aer	ARRERNTE	8362
202	aey	AMELE	8635
203	agm	ANGAATIHA	8627
204	agq	AGHEM	4134
205	ahp	AIZI	4131
206	aht	AHTNA	6108
207	ain	AINU	2140
208	aka	AKAN	4115
209	ake	AKAWAIO	6853
210	akz	ALABAMA	6759
211	alc	QAWASQAR	6859
212	ald	ALLADIAN	4152
213	ale	ALEUT	6900
214	alh	ALAWA	8354
215	als	ALBANIAN	2021
216	amc	AMAHUACA	6810
217	ame	AMUESHA	6824
218	amf	HAMER	4365
219	amh	AMHARIC	4352
220	amo	AMO	4122
221	amp	ALAMBLAK	8634
222	amu	AMUZGO	6770
223	anc	ANGAS	4367
224	ano	ANDOKE	6851
225	ant	WESTERN DESERT	8360
226	apn	APINAYE	6809
227	apq	ANDAMANESE	8600
228	aqc	ARCHI	2605
229	arl	ARABELA	6817
230	arn	ARAUCANIAN	6837
231	arz	ARABIC	4350
232	auc	AUCA	6818
233	ava	AVAR	2606
234	awn	AWIYA	4359
235	axb	ABIPON	6815
236	azj	AZERBAIJANI	2159
237	bak	BASHKIR	2163
238	bam	BAMBARA	4105
239	bao	BARASANO	6832
240	bba	BARIBA	4113
241	bbc	BATAK	2413
242	bbl	BATS	2604
243	bbo	BOBO-FING	4138
244	bca	BAI	2506
245	bcj	BARDI	8357
246	bcs	KOHUMONO	4136
247	bdl	SAMA	2412
248	bdy	BANDJALANG	8368
249	bej	BEJA	4361
250	ben	BENGALI	2017
251	beq	BEEMBE	4123
252	bev	BETE	4144
253	bib	BISA	4104
254	bkq	BAKAIRI	6856
255	blc	BELLA COOLA	6771
256	bmr	MUINANE	6806
257	bom	BIROM	4120
258	bor	BORORO	6850
259	brb	BRAO	2311
260	bre	BRETON	2002
261	brh	BRAHUI	2917
262	brv	BRUU	2316
263	brx	BODO	2515
264	bsk	BURUSHASKI	2715
265	bul	BULGARIAN	2009
266	bvr	BURARRA	8352
267	byx	BAINING	8631
268	bzd	BRIBRI	6801
269	cad	CADDO	6775
270	cag	ASHUSLAY	6814
271	caq	NICOBARESE	2313
272	car	CARIB	6807
273	cbi	CAYAPA	6803
274	cbn	NYAH KUR	2315
275	cbv	CACUA	6864
276	cdo	FUZHOU	2505
277	cha	CHAMORRO	2416
278	chp	CHIPEWYAN	6106
279	chq	HIGHLAND CHINANTEC	6786
280	chr	CHEROKEE	6781
281	chv	CHUVASH	2160
282	cja	CHAM	2411
283	cjh	UPPER CHEHALIS	6773
284	cjv	CHUAVE	8611
285	ckt	CHUKCHI	2708
286	cmn	MANDARIN	2500
287	cnh	LAI	2432
288	cni	CAMPA	6825
289	con	COFAN	6836
290	cou	KONYAGI	4145
291	cqd	HMONG	2519
292	crb	ISLAND CARIB	6823
293	ctd	TIDDIM CHIN	2513
294	ctp	CHATINO	6729
295	cub	CUBEO	6846
296	cyb	CAYUVAVA	6840
297	daa	DANGALEAT	4374
298	dag	DAGBANI	4110
299	daj	DAJU	4225
300	dal	DAHALO	4372
301	dbl	DYIRBAL	8371
302	deu	GERMAN	2004
303	dif	DIYARI	8367
304	dih	DIEGUENO	6743
305	dip	DINKA	4226
306	dni	DANI	8613
307	doc	KAM	2404
308	dow	DOAYO	4128
309	dru	RUKAI	2417
310	dta	DAGUR	2176
311	dts	DOGON	4170
312	duj	YOLNGU	8375
313	dwr	KULLO	4362
314	dyo	DIOLA	4108
315	efi	EFIK	4119
316	ekg	EKARI	8650
317	ell	GREEK	2000
318	ess	YUPIK	6902
319	etu	EJAGHAM	4125
320	eus	BASQUE	2714
321	eve	EVEN	2167
322	ewe	EWE	4114
323	ewo	EWONDO	4141
324	eya	EYAK	6109
325	faa	FASU	8617
326	fia	NUBIAN	4206
327	fij	FIJIAN	2439
328	fin	FINNISH	2153
329	fmp	FE?FE?	4148
330	fra	FRENCH	2010
331	fun	IATE	6870
332	fvr	FUR	4203
333	fwa	PO-AI	2405
334	gaa	GA	4117
335	gaj	GADSUP	8608
336	gbp	GBEYA	4129
337	gbr	GWARI	4140
338	gld	NANAI	2168
339	gle	IRISH	2001
340	gqu	GELAO	2436
341	guc	GUAJIRO	6826
342	gug	GUARANI	6828
343	guh	GUAHIBO	6830
344	gum	GUAMBIANO	6862
345	guq	ACHE	6866
346	gvn	GUGU-YALANDYI	8364
347	hak	HAKKA	2502
348	hau	HAUSA	4366
349	haw	HAWAIIAN	2424
350	hdn	HAIDA	6100
351	hin	HINDI-URDU	2016
352	hix	HIXKARYANA	6842
353	hop	HOPI	6738
354	hts	HADZA	4900
355	hun	HUNGARIAN	2154
356	hup	HUPA	6105
357	hus	HUASTECO	6776
358	huv	HUAVE	6716
359	hye	ARMENIAN	2022
360	iai	IAI	2422
361	iba	IBAN	2435
362	ibo	IGBO	4116
363	ign	MOXO	6827
364	ijc	KOLOKUMA IJO	4150
365	ikx	IK	4208
366	irh	IRARUTU	2440
367	irk	IRAQW	4360
368	irn	IRANXE	6845
