upsidLangNum	upsidCCID	anomalous
2000	26	0
2000	30	0
2000	130	0
2000	132	0
2000	386	0
2000	388	0
2000	297	0
2000	299	0
2000	301	0
2000	302	0
2000	265	0
2000	266	0
2000	318	0
2000	320	0
2000	608	0
2000	722	0
2000	794	0
2000	742	0
2000	802	0
2000	826	0
2000	593	0
2000	43	0
2000	46	0
2000	614	0
2000	551	0
2000	527	0
2001	7	0
2001	13	0
2001	16	0
2001	40	0
2001	46	0
2001	116	0
2001	118	0
2001	125	0
2001	132	0
2001	405	0
2001	407	0
2001	285	0
2001	287	0
2001	288	0
2001	277	0
2001	310	0
2001	318	0
2001	320	0
2001	601	0
2001	603	0
2001	614	0
2001	643	0
2001	648	0
2001	562	0
2001	561	4
2001	560	0
2001	559	4
2001	524	4
2001	523	0
2001	522	4
2001	919	0
2001	714	0
2001	774	0
2001	818	0
2001	734	0
2001	786	0
2001	671	0
2001	691	0
2001	708	0
2001	679	0
2001	695	0
2001	719	0
2001	752	0
2001	739	0
2001	761	0
2001	825	0
2001	674	0
2001	683	0
2001	680	0
2001	688	0
2001	710	0
2001	593	0
2001	578	0
2001	8	0
2001	547	0
2001	854	0
2001	862	0
2001	853	0
2001	864	0
2001	76	0
2001	82	0
2001	265	0
2001	623	0
2001	625	0
2001	622	4
2001	624	4
2001	632	0
2001	525	0
2001	569	0
2002	30	0
2002	132	0
2002	297	0
2002	299	0
2002	277	0
2002	279	0
2002	318	0
2002	608	0
2002	639	0
2002	567	0
2002	722	0
2002	716	0
2002	593	0
2002	578	0
2002	26	0
2002	43	0
2002	130	0
2002	103	4
2002	46	0
2002	106	4
2002	320	0
2002	265	0
2002	266	0
2002	614	0
2002	648	1
2002	919	0
2002	572	0
2002	742	0
2002	826	0
2002	794	0
2002	774	0
2002	769	0
2002	764	0
2002	786	0
2002	691	0
2002	699	0
2002	711	0
2002	702	0
2002	915	0
2002	891	0
2002	910	0
2002	879	0
2002	907	0
2002	846	0
2002	847	0
2004	26	0
2004	30	0
2004	130	0
2004	132	0
2004	420	0
2004	297	0
2004	299	0
2004	265	0
2004	266	0
2004	277	0
2004	279	2
2004	318	0
2004	608	0
2004	648	0
2004	567	0
2004	545	0
2004	919	0
2004	719	0
2004	715	0
2004	752	0
2004	748	0
