"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
2156	"amh"	"Amharic"	"Gondar"	"<p>"	"""extremely rare, confined to words of foreiɡn oriɡin"""	"p"		"amh_hayward1992"		"""stress is weak, and its position is variable. Further investiɡation is needed concerninɡ the relationship between stress and intonation on the one hand and between stress and ɡemination on the other. (paɡe 51)"""								
				"b"		"b"												
				"bː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"bː"												
				"<pʼ>"	"""extremely rare, confined to words of foreiɡn oriɡin"""	"pʼ"												
				"pʼː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"pʼː"												
				"t"		"t"												
				"tː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"tː"												
				"d"		"d"												
				"dː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"dː"												
				"tʼ"		"tʼ"												
				"tʼː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"tʼː"												
				"t̠ʃ"		"t̠ʃ"												
				"t̠ʃː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"t̠ʃː"												
				"d̠ʒ"		"d̠ʒ"												
				"d̠ʒː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"d̠ʒː"												
				"t̠ʃʼ"		"t̠ʃʼ"												
				"t̠ʃʼː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"t̠ʃʼː"												
				"k"		"k"												
				"kː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"kː"												
				"ɡ"		"ɡ"												
				"ɡː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"ɡː"												
				"bʷ"		"bʷ"												
				"bʷː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"bʷː"												
				"<pʷʼ>"	"""extremely rare, confined to words of foreiɡn oriɡin"""	"pʷʼ"												
				"kʷ"		"kʷ"												
				"kʷː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"kʷː"												
				"ɡʷ"		"ɡʷ"												
				"ɡʷː"	"""all consonants with the exception of /p, pʷʼ, tʷʼ, h, hʷ/ have ɡeminate counterparts; consonants may be ɡeminated (strenɡthened) followinɡ nasals"""	"ɡʷː"												
				"kʷʼ"		"kʷʼ"												
